Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Lett Signe,2025,Can bryophyte groups increase functional resolution in tundra ecosystems?,True,A référencer
HAL,Maenhout Peter,2025,Knowledge gaps on trade-offs of soil carbon sequestration related to soil management strategies,True,A référencer
HAL,Maenhout Peter,2025,Trade‐offs and synergies of soil carbon sequestration: Addressing knowledge gaps related to soil management strategies,True,A référencer
HAL,Cros Camille,2025,A new experimental platform connecting the rhizosphere priming effect with CO2 fluxes of plant-soil systems,True,A référencer
HAL,Vitali Rayanne,2024,Simulating Increased Permafrost Peatland Plant Productivity in Response to Belowground Fertilisation Using the JULES Land Surface Model,True,A référencer
HAL,Blume-Werry Gesche,2024,Arctic rooting depth distribution influences modelled carbon emissions but cannot be inferred from aboveground vegetation type,True,A référencer
HAL,Väisänen Maria,2024,Meshes in mesocosms control solute and biota exchange in soils: A step towards disentangling (a)biotic impacts on the fate of thawing permafrost,True,A référencer
HAL,Callaghan Terry,2024,Multi-Decadal Changes in Tundra Environments and Ecosystems: Synthesis of the International Polar Year-Back to the Future Project (IPY-BTF),True,A référencer
HAL,Hidding B.,2024,Differences in tolerance of pondweeds and charophytes to vertebrate herbivores in a shallow Baltic estuary,True,A référencer
HAL,Johansson Margareta,2024,Past and Present Permafrost Temperatures in the Abisko Area: Redrilling of Boreholes,True,A référencer
HAL,Keuper Frida,2024,DIRECT AND INDIRECT EFFECTS OF CLIMATIC CHANGES ON VEGETATION PRODUCTIVITY AND SPECIES COMPOSITION OF PERMAFROST PEATLANDS,True,A référencer
HAL,Keuper Frida,2024,Tundra in the Rain: Differential Vegetation Responses to Three Years of Experimentally Doubled Summer Precipitation in Siberian Shrub and Swedish Bog Tundra,True,A référencer
HAL,Elmendorf Sarah,2024,Global assessment of experimental climate warming on tundra vegetation: heterogeneity over space and time,True,A référencer
HAL,Keuper Frida,2024,A frozen feast: thawing permafrost increases plant‐available nitrogen in subarctic peatlands,True,A référencer
HAL,Tsyganov Andrey,2024,"Flourish or Flush: Effects of Simulated Extreme Rainfall Events on Sphagnum-dwelling Testate Amoebae in a Subarctic Bog (Abisko, Sweden)",True,A référencer
HAL,Keuper Frida,2024,"Rhizosphere priming data for the northern circumpolar permafrost area, 2010⁠ – ⁠2100",True,A référencer
HAL,Ferchaud Fabien,2024,"Do agricultural practices impact carbon, nitrogen and phosphorus stoichiometry in plants and soils on the long-term?",True,A référencer
