Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Farhani Nesrine,2025,Evapotranspiration estimates in Sahel regions using an ensemble contextual model: medium &amp; high spatial resolution data comparison,True,A référencer
HAL,Mwangi Samuel,2025,Ensemble evapotranspiration estimates and uncertainties: EVASPA,True,A référencer
HAL,Jia Aolin,2025,Deriving a clear-sky soil moisture index from ECOSTRESS land surface temperature,True,A référencer
HAL,Olioso Albert,2025,Daily Evapotranspiration and Water Stress L2 products from the TRISHNA mission.,True,A référencer
HAL,Mallick Kanishka,2025,"STIC-ing together LST, Stomatal Conductance, and ET: Evolving Science of Ecosystem Functioning in the European ECOSTRESS Hub & Beyond",True,A référencer
HAL,Hagolle Olivier,2025,TRISHNA: an Indo-French Space Mission to Study the Thermography of the Earth at Fine Spatio-Temporal Resolution,True,A référencer
HAL,Boulet Gilles,2025,Benchmarking the TRISHNA L3 all weather daily evapotranspiration algorithms over contrasted land use and climates.,True,A référencer
HAL,Mwangi Samuel,2025,Observation and modelling of surface components over a heterogeneous (row) canopy,True,A référencer
HAL,Farhani Nesrine,2025,Remotely sensed evapotranspiration estimates in Sahel regions using EVASPA S-SEBI Sahel (E3S) model: Uncertainty analysis,True,A référencer
HAL,Boulet Gilles,2025,Continuous daily evapotranspiration and water stress algorithms for TRISHNA Level-3 products,True,A référencer
HAL,Hu Tian,2025,High-resolution mapping of terrestrial evapotranspiration using ECOSTRESS: Insights into surface energy balance for future thermal missions,True,A référencer
HAL,Mallick Kanishka,2025,Putting Biology with Physics in Thermal Remote Sensing of Terrestrial Evaporation and Implications for the Future LST Missions,True,A référencer
HAL,Mallick Kanishka,2025,Consort of Conductances: The Missing Biophysical Link in Thermal Remote Sensing of Terrestrial Evaporation and Inclusion for the Future LST Missions,True,A référencer
HAL,Hu Tian,2025,European ECOSTRESS Hub Phase 2: Thermal Infrared Remote Sensing of Terrestrial Ecosystem Processes,True,A référencer
HAL,Boulet Gilles,2025,Retrieving Evapotranspiration based on realistic LST canopy distribution using Surface Energy Budget models in forward and inverse modes,True,A référencer
HAL,Athira K.V.,2025,Multiscale evaluation of three remote sensing-based evapotranspiration models across the humid to arid tropics: a study over India,True,A référencer
HAL,Mallick Kanishka,2025,Conjugate Biophysical Regulation of Stomata and Aerodynamic conductances Determines Terrestrial Evaporation Responses to Land Srface Temperature Variability.,True,A référencer
HAL,Gamet Philippe,2025,TRISHNA: towards daily evapotranspiration from remote sensing thermal data,True,A référencer
HAL,Olioso Albert,2025,Monitoring Evapotranspiration with Remote Sensing Data and Ground Data Using Ensemble Model Averaging,True,A référencer
HAL,Farhani Nesrine,2025,Spatially remotely sensed evapotranspiration estimates in Sahel regions using an ensemble contextual model : structural uncertainty estimation and reduction,True,A référencer
HAL,Ollivier Chloé,2025,The contribution of remote sensing data assimilation to simulate daily evapotranspiration of irrigated and non-irrigated crops in semi-arid context,True,A référencer
HAL,Olioso Albert,2025,Multimodel – multidata simulations for mapping evapotranspiration and its uncertainty of estimation from remote sensing data,True,A référencer
HAL,Mwangi Samuel,2024,Ensemble Estimation of Evapotranspiration Using EVASPA: a Multi-Data Multi-Method Analysis,True,A référencer
HAL,V Athira,2024,Comparison of Three Remote Sensing Based Multi-Source Evapotranspiration Models,True,A référencer
HAL,Mwangi Samuel,2024,Influence of Thermal Radiation Directionality (TRD) on Surface Flux Retrieval: Point-Scale Surface Energy Balance Experiments,True,A référencer
HAL,Hu Tian,2024,Continental-scale evaluation of three ECOSTRESS land surface temperature products over Europe and Africa: Temperature-based validation and cross-satellite comparison,True,A référencer
HAL,Hu Tian,2024,Correction for LST directionality impact on the estimation of surface upwelling longwave radiation over vegetated surfaces at the satellite scale,True,A référencer
HAL,Guzinski Radoslaw,2024,Utility of Copernicus-Based Inputs for Actual Evapotranspiration Modeling in Support of Sustainable Water Use in Agriculture,True,A référencer
HAL,Farhani Nesrine,2024,Regional sub-daily stochastic weather generator based on reanalyses for surface water stress estimation in central Tunisia,True,A référencer
HAL,Mwangi Samuel,2024,Assessment of an extended SPARSE model for estimating evapotranspiration from directional thermal infrared data,True,A référencer
HAL,Chebbi Wafa,2024,Modelling of water and energy exchanges over a sparse olive orchard in semi-arid areas,True,A référencer
HAL,Bigeard Guillaume,2024,Evapotranspiration monitoring based on thermal infrared data over agricultural landscapes: comparison of a simple energy budget model and a SVAT model,True,A référencer
HAL,Trebs Ivonne,2024,The role of aerodynamic resistance in thermal remote sensing-based evapotranspiration models,True,A référencer
HAL,Etchanchu Jordi,2024,Review and evaluation of global evapotranspiration products in Sahelian region,True,A référencer
HAL,Simonneaux Vincent,2024,La mesure de l'eau,True,A référencer
HAL,Diedhiou Arona,2024,Quelles sont les conséquences de la désertification sur l'atmosphère et le climat ?,True,A référencer
ORCID,Daniel Schulz,2025.0,Multi-site investigation of the determinants of evapotranspiration partitioning with a mobile water isotope laboratory,A déposer sur HAL,False
ORCID,Samuel Mwangi,2025.0,Ensemble evapotranspiration estimates and uncertainties: EVASPA,A déposer sur HAL,False
ORCID,Tian Hu,2025.0,High-resolution Mapping of Terrestrial Evapotranspiration using ECOSTRESS: Insights into Surface Energy Balance Modeling,A déposer sur HAL,False
ORCID,Nesrine Farhani,2025.0,Spatially remotely sensed evapotranspiration estimates in Sahel regions using an ensemble contextual model : structural uncertainty estimation and reduction&#160;,A déposer sur HAL,False
