Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Dao Ousmane,2025,Cyclic and pseudo-cyclic electron pathways play antagonistic roles during nitrogen deficiency in Chlamydomonas reinhardtii,True,A référencer
HAL,Peltier Gilles,2025,Alternative electron pathways of photosynthesis power green algal CO2 capture,True,A référencer
HAL,Bellafiore Stéphane,2025,State transitions and light adaptation require chloroplast thylakoid protein kinase STN7,True,A référencer
HAL,Miao Rui,2024,Absence of alka(e)nes triggers profound remodeling of glycerolipid and carotenoid composition in cyanobacteria membrane,True,A référencer
HAL,Dao Ousmane,2024,Joint operation of the CO2 concentrating mechanism and photorespiration in green algae during acclimation to limiting CO2,True,A référencer
HAL,Miao Rui,2024,CRISPR interference screens reveal growth–robustness tradeoffs in $Synechocystis$ sp. PCC 6803 across growth conditions,True,A référencer
HAL,Adler Liat,2024,The role of BST4 in the pyrenoid of Chlamydomonas reinhardtii,True,A référencer
HAL,Djouani-Tahri El Batoul,2024,A plastidial DEAD box RNA helicase plays a critical role in high light acclimation by modulating ribosome biogenesis in Chlamydomonas reinhardtii,True,A référencer
HAL,Peltier Gilles,2024,Alternative electron pathways of photosynthesis power green algal CO2 capture,True,A référencer
HAL,Ekadewi Putty,2024,Microbial hydrocarbon production by fatty acid photodecarboxylase photoenzyme in photobioreactors,True,A référencer
HAL,Ermakova Maria,2024,Distinguishing the roles of thylakoid respiratory terminal oxidases in the cyanobacterium $Synechocystis$ sp. PCC 6803,True,A référencer
HAL,Ermakova M.,2024,Heterocyst-specific flavodiiron protein Flv3B enables oxic diazotrophic growth of the filamentous cyanobacterium Anabaena sp. PCC 7120,True,A référencer
HAL,Lu Yandu,2024,Role of an ancient light-harvesting protein of PSI in light absorption and photoprotection,True,A référencer
