Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Pourrahmati Manizheh Rajab,2025.0,Influence of Forest Plantation Characteristics on GEDI Returned Energy Distribution,True,A référencer
HAL,Fayad Ibrahim,2025.0,Estimating canopy height and wood volume of Eucalyptus plantations in Brazil using GEDI LiDAR data,True,A référencer
HAL,Agbohessou Yélognissé,2025.0,"Using drones to upscale yield and land-equivalent-ratio from plot to stand in an agro-silvo-pastoral system: the “Faidherbia-Flux” collaborative observatory (groundnut basin, Senegal)",True,A référencer
HAL,Lahssini Kamel,2025.0,Investigating the Influence of GEDI Vegetation Penetration on Canopy Height Estimation,True,A référencer
HAL,Lahssini Kamel,2025.0,Integrating Multi-Source Satellite Data and Environmental Information in a U-Net Architecture for Canopy Height Mapping in French Guiana,True,A référencer
HAL,Goral Mathieu,2025.0,Monitoring the early growth of forest plantations with Sentinel-2 satellite time-series,True,A référencer
HAL,Robertson Laura Dingle,2025.0,"Using Dense Time-Series of C-Band Sar Imagery for Classification of Diverse, Worldwide Agricultural Systems",True,A référencer
HAL,Roupsard Olivier,2024.0,Monitoreo de servicios ecosistémicos en un observatorio de cafetales agroforestales. Recomendaciones para el sector cafetalero,True,A référencer
HAL,Barbosa Ferreira Vitoria,2024.0,"Biophysical variables estimation from Sentinel 2 images: emphasizing the importance of vertical heterogeneity, solar and viewing geometry, and associated biophysical properties",True,A référencer
HAL,Amaro Rafaella Pironato,2024.0,"Regional Model to Predict Sugarcane Yield Using Sentinel-2 Imagery in São Paulo State, Brazil",True,A référencer
HAL,Dubertrand Philippine,2025.0,Analysis of phosphorus stock variation in soil and biomass during an Eucalyptus rotation: a step towards modelling the phosphorus cycle,False,A référencer
HAL,Agbohessou Yélognissè,2025.0,Proxydetection of the impact distance of trees on crops: An indicator of the Land Equivalent Ratio?,False,A référencer
