Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Bordenave Pierre,2025,ECOLOGGING : réseau de Stations Instrumentées Évolutives Modulables et Déplaçable en IoT,True,A référencer
HAL,Raynaud-Schell Brune,2025,Quantifying groundwater recharge in karstic mediterranean environments controlling surface water and energy transfers,True,A référencer
HAL,Cailleret Maxime,2025,"Éclaircir, mélanger les espèces, utiliser la migration assistée: Une évaluation de trois leviers de gestion pour adapter le pin d'Alep et le chêne vert aux sécheresses",True,A référencer
HAL,Courbet Francois,2025,Forêts et changement climatique : comprendre et modéliser le fonctionnement hydrique des arbres,True,A référencer
HAL,Raynaud--Schell Brune,2025,Modélisation des transferts d'énergie et d'eau à l'interface Surface-Atmosphère dans les forêts méditerranéenne en zone karstique,True,A référencer
HAL,Veuillen Léa,2025,Primary and secondary growth of Pinus halepensis are more sensitive to inter-annual drought variability than to 14 years of rainfall exclusion in a Mediterranean forest,True,A référencer
HAL,Arfib Bruno,2025,Le Parc naturel régional de la Sainte-Baume face au changement climatique,True,A référencer
HAL,Raynaud--Schell Brune,2025,Modelling surface water and energy transfer in karstic mediterranean forests,True,A référencer
HAL,Martin-StPaul Nicolas,2024,La plateforme expérimentale de Font-Blanche Un site dédié au suivi à long terme du bilan de carbone et d’eau d’une forêt mixte méditerranéenne de pin d’Alep et de chêne vert,True,A référencer
HAL,Moreno Myriam,2024,Hydraulic plasticity and water use regulation act to maintain the hydraulic safety margins of Mediterranean trees in rainfall exclusion experiments,True,A référencer
HAL,Joetzjer Emilie,2024,Carbon assimilation limitations during and after the European 2022 drought and heat wave,True,A référencer
