Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Oliveira Odara Araujo De,2025,Insights into the water microbiome dynamics of a large tropical estuary transition,True,A référencer
HAL,Lauerwald Ronny,2025,"Global Inland Water Greenhouse Gas Emissions: Patterns, Trends, and Anthropogenic Drivers",True,A référencer
HAL,Abril Gwenaël,2025,"Carbon dioxide emissions from coastal waters and mangrove sediments in a microtidal bay under tropical monsoon climate (Martinique, Lesser Antilles)",True,A référencer
HAL,Diamond Jacob S,2025,"Inorganic carbon dynamics and their relation to autotrophic community regime shift over three decades in a large, alkaline river",True,A référencer
HAL,Chynel Mathias,2024,Sargassum beaching on mangrove sediments shifts microbial and crab metabolisms and enhances blue carbon storage,True,A référencer
HAL,Miranda F. A. V.,2024,Phytoplankton diversity across a coastal urbanization and eutrophication Gradient: the Sepetiba bay -Ilha Grande bay continuum in Rio de Janeiro,True,A référencer
HAL,Chielle Raisa,2024,Fatty acids and stable isotopes distribution in the mangrove dominated Parnaíba River Delta,True,A référencer
HAL,Cotovicz Luiz,2024,Methane oxidation minimizes emissions and offsets to carbon burial in mangroves,True,A référencer
HAL,Yau Yvonne y Y,2024,Efficient oxidation attenuates porewater‐derived methane fluxes in mangrove waters,True,A référencer
HAL,Lønborg Christian,2024,A global database of dissolved organic matter (DOM) concentration measurements in coastal waters (CoastDOM v1),True,A référencer
HAL,Grasset Charlotte,2024,The transformation of macrophyte-derived organic matter to methane relates to plant water and nutrient contents,True,A référencer
HAL,Cotovicz Luiz Carlos,2024,"A strong CO2 sink enhanced by eutrophication in a tropical coastal embayment (Guanabara Bay, Rio de Janeiro, Brazil)",True,A référencer
HAL,Deirmendjian Loris,2024,Hydrological and ecological controls on dissolved carbon concentrations in groundwater and carbon export to surface waters in a temperate pine forest watershed,True,A référencer
HAL,Borges Alberto V.,2024,Divergent biophysical controls of aquatic CO2 and CH4 in the World's two largest rivers,True,A référencer
HAL,Guilhen Jérémy,2025,Première estimation des émissions de dioxyde de carbone et protoxyde d’azote associées aux zones humides amazoniennes,True,A référencer
HAL,Ribaudo Cristina,2024,Corrigendum: Invasive Aquatic Plants as Ecosystem Engineers in an Oligo-Mesotrophic Shallow Lake,True,A référencer
HAL,Nascimento-Silva Grazielle,2025,Phosphate buffering in mangrove sediment pore water under eutrophication and deforestation influences,True,A référencer
ORCID,F. A. V. Miranda,2024.0,Phytoplankton Diversity Across a Coastal Urbanization and Eutrophication Gradient: The Sepetiba Bay—Ilha Grande Bay Continuum in Rio de Janeiro,A déposer sur HAL,False
