Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Skorupinski Solèmne,2025.0,A new indicator framework for multicriteria assessment of co-designed agroecological crop rotations,True,A référencer
HAL,Mitton Nathalie,2025.0,Foundations and state of play,True,A référencer
HAL,Debaeke Philippe,2024.0,Impacts du changement climatique sur la culture de soja et possibilités d’adaptation,True,A référencer
HAL,Willaume Magali,2024.0,Impacts of cover crops on N mineral fertilization and consequences for agroenvironmental performances of maize monocrop in climate change context,True,A référencer
HAL,Constantin Julie,2024.0,Application d’une chaîne de modélisation basée sur STICS à l’évaluation des potentialités de culture actuelles et futures du soja en Europe,True,A référencer
HAL,Raynal Helene,2024.0,AgGlob: Toolset for Cropping Systems Modeling and Simulation,True,A référencer
HAL,Launay Camille,2024.0,Potential production of energy cover crop in France: consequences on food crop production and environmental impacts based on scenarios simulation at high resolution,True,A référencer
HAL,Hoffmann Holger,2024.0,Variability of effects of spatial climate data aggregation on regional yield simulation by crop models,True,A référencer
HAL,Maharjan Ganga Ram,2024.0,Effects of input data aggregation on simulated crop yields in temperate and Mediterranean climates,True,A référencer
HAL,Senges Hugo,2024.0,"Cadre de modélisation pour développer et évaluer la durabilité de scénarios de bioéconomie sur des territoires contrastés à grande échelle, France et Europe",False,A référencer
