Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Jiang Dalin,2025,Remotely estimating total suspended solids concentration in clear to extremely turbid waters using a novel semi-analytical method,True,A référencer
HAL,Balasubramanian Sundarabalan,2025,Robust algorithm for estimating total suspended solids (TSS) in inland and nearshore coastal waters,True,A référencer
HAL,Alvain Séverine,2025,Theoretical analysis of ocean color radiances anomalies and implications for phytoplankton groups detection in case 1 waters.,True,A référencer
HAL,Arena Maximiliano,2025,Full-Resolution Sentinel-3 Satellite Observations of Phytoplankton Phenology in Optically Complex Waters of the Northern Patagonian Shelf,True,A référencer
HAL,Fumenia Alain,2025,Relationships between the concentration of particulate organic nitrogen and the inherent optical properties of seawater in oceanic surface waters,True,A référencer
HAL,Arena Maximiliano,2025,Optical water characterization and atmospheric correction assessment of estuarine and coastal waters around the AERONET-OC Bahia Blanca,True,A référencer
HAL,Kong Christina Eunjin,2025,Comparison of ocean-colour algorithms for particulate organic carbon in global ocean,True,A référencer
HAL,Renosh P R,2025,Intermittent particle dynamics in marine coastal waters,True,A référencer
HAL,Nguyen Vu Son,2024,An Empirical Algorithm for Estimating the Absorption of Colored Dissolved Organic Matter from Sentinel-2 (MSI) and Landsat-8 (OLI) Observations of Coastal Waters,True,A référencer
HAL,Loisel Hubert,2024,Characterization of the organic vs. inorganic fraction of suspended particulate matter in coastal waters based on ocean color radiometry remote sensing,True,A référencer
HAL,Bonelli Ana Gabriela,2024,Towards the estimation of DOC from space in the open ocean,True,A référencer
HAL,Tran Trung-Kien,2024,Novel approaches to derive the particulate organic carbon from space in coastal waters”: application to the meris data set over global coastal waters,True,A référencer
