Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Bouhenache Abderrahim,2025.0,Impact of climate change on maize productivity and nitrogen cycling in the sub-humid tropics: a field case study under rainfall extremes in Zimbabwe,True,A référencer
HAL,Perrin Anne-Sophie,2024.0,Evaluer l’évolution du statut organique des sols,True,A référencer
HAL,Justes Eric,2024.0,Minéralisation en azote des matières organiques du sol : des prévisions plus précises validées sur le terrain,True,A référencer
HAL,Justes Eric,2024.0,Une nouvelle équation simple et robuste pour estimer la minéralisation en azote de la matière organique des sols français de grandes cultures,True,A référencer
HAL,Clivot Hugues,2024.0,SoléBIOM : Dynamique de minéralisation des matières organiques du sol,True,A référencer
HAL,Slezack S,2024.0,Effects of Vibrance Gold on plant growth and N status of Wheat (Triticum aestivum L.),True,A référencer
HAL,Piutti Séverine,2024.0,Effects of Vibrance Gold® on soil parameters during wheat development,True,A référencer
HAL,Barré Pierre,2024.0,Initializing the stable pool of soil carbon models using Rock-Eval thermal analysis to improve their accuracy,True,A référencer
HAL,Barré Pierre,2024.0,Initializing the stable pool of soil carbon models using Rock-Eval thermal analysis to improve their accuracy,True,A référencer
HAL,Le Guyader Elie,2024.0,Evaluation of the stability of date-palm based biochar and compost in soil by C mineralization kinetics and Rock-Eval analysis,True,A référencer
HAL,Bouhenache Abderrahim,2024.0,Impact of rainfall extremes and mulch application on maize productivity and nitrogen use in Zimbabwe,True,A référencer
HAL,Künnemann Tom,2024.0,Characterization of litter decomposition in urban green spaces,True,A référencer
HAL,Bouhenache Abderrahim,2024.0,Impact of climate change on maize productivity and nitrogen cycling in the subhumid tropics: a field case study under rainfall extremes in Zimbabwe,True,A référencer
HAL,Dardonville Manon,2024.0,Assessment of ecosystem services and natural capital dynamics in agroecosystems,True,A référencer
HAL,Mary Bruno,2024.0,Agriculture de conservation des sols et atténuation du changement climatique,True,A référencer
HAL,Vertès Francoise,2024.0,Grasslands for soil organic matter storage in crop-livestock systems.,True,A référencer
HAL,Clivot Hugues,2024.0,Modélisation de l'évolution des stocks de carbone organique dans les sols : travaux et perspectives de recherche autour du modèle AMG,True,A référencer
HAL,Mary Bruno,2024.0,Chapter 12. Carbon and nitrogen transformations in soil and balances,True,A référencer
HAL,Senges Hugo,2024.0,"Cadre de modélisation pour développer et évaluer la durabilité de scénarios de bioéconomie sur des territoires contrastés à grande échelle, France et Europe",False,A référencer
ORCID,Breil L. Nicolas,2025.0,Estimating Rhizosphere Priming in European Agricultural Soils,A déposer sur HAL,False
ORCID,Marija Stojanova,2025.0,A new machine-learning model to partition soil organic carbon into its centennially stable and active fractions based on Rock-Eval(r) thermal analysis,A déposer sur HAL,False
