Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Hébrant Marc,2025.0,Distinct adsorption kinetics of Qβ and GA bacteriophages on drinking water biofilms,True,A référencer
HAL,Agbohessou Yélognissé,2025.0,"Using drones to upscale yield and land-equivalent-ratio from plot to stand in an agro-silvo-pastoral system: the “Faidherbia-Flux” collaborative observatory (groundnut basin, Senegal)",True,A référencer
HAL,Gomez de Soto José,2025.0,Les lieux de culte des Âges du Fer en Centre-Ouest,True,A référencer
HAL,Lemaître Séverine,2025.0,La villa romaine de la Croche à Civaux. Rapport de fouille 2022,True,A référencer
HAL,Lemaître Séverine,2025.0,La villa romaine de la Croche à Civaux. Rapport de fouille 2023,True,A référencer
HAL,Lemaître Séverine,2025.0,La villa romaine de la Croche à Civaux. Rapport de fouille 2024,True,A référencer
HAL,Detrey Jeremy,2025.0,Do mixed-species agricultural systems increase root C stock and C sequestration in subsoil? New data from across Europe,True,A référencer
HAL,Bertrand Isabelle,2025.0,Stoichiometry constraints challenge the potential of agroecological practices for the soil C storage. A review,True,A référencer
HAL,Bertrand Isabelle,2025.0,Les arbres à la rescousse des sols agricoles,True,A référencer
HAL,Bertrand Isabelle,2024.0,Development Of high resistivity FD-SOI substrates for mmWave applications,True,A référencer
HAL,Rouba Achouak,2024.0,First detection of Hepatitis E virus (Rocahepevirus ratti) in French urban wastewater: Potential implications for human contamination,True,A référencer
HAL,Hinsinger Philippe,2024.0,Spatial heterogeneities of soil biogeochemical and ecological processes in alley cropping agroforestry systems,True,A référencer
HAL,Chaqroun Ahlam,2024.0,Assessing infectivity of emerging enveloped viruses in wastewater and sewage sludge: Relevance and procedures,True,A référencer
HAL,Detrey Jeremy,2024.0,In situ quantification of the Net C Rhizodeposition in a Mediterranean agroforestry alley cropping system,True,A référencer
HAL,Thiébeau P.,2024.0,Dispositif de collecte de feuilles sénescentes de jeunes arbres cultivés en taillis à courte rotation,True,A référencer
HAL,Mahmud Mubarak,2024.0,Assessing Nutrient Safety Net and Crop Yield in a Mediterranean Agroforestry Using 15N Labelling Experiment,True,A référencer
HAL,Ferchaud Fabien,2024.0,"Do agricultural practices impact carbon, nitrogen and phosphorus stoichiometry in plants and soils on the long-term?",True,A référencer
HAL,Butaud Eric,2024.0,Smart Cut™ Piezo On Insulator (POI) substrates for high performances SAW components,True,A référencer
