Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Chuine Isabelle,2025,"Face au dérèglement climatique, les arbres ont de la ressource… génétique",True,A référencer
HAL,Wenden Bénédicte,2025,Chapitre 7. Des modèles prédictifs comme outils d’anticipation des changements phénologiques chez les espèces fruitières,True,A référencer
HAL,Liu Guohua,2025,Higher sample sizes and observer inter‐calibration are needed for reliable scoring of leaf phenology in trees,True,A référencer
HAL,Chuine Isabelle,2025,Chapter 15 Plant Phenology Models,True,A référencer
HAL,Tromel Louis,2025,SIDO,True,A référencer
HAL,Ameisen Jean Claude,2025,"Table-ronde : La nature comme lieu d’humanité, d’apprentissage scientifique et de citoyenneté",True,A référencer
HAL,Cécile Fleuriot,2024,Phénologie des espèces suivies dans l'Observatoire des Saisons Occitanie,True,A référencer
HAL,Cécile Fleuriot,2024,Fiches d'identification des espèces suivies de l'Observatoire des Saisons Occitanie,True,A référencer
HAL,van der Meersch Victor,2024,Biological mechanisms are necessary to improve projections of species range shifts,True,A référencer
HAL,Chuine Isabelle,2024,Changement climatique et biosphère,True,A référencer
HAL,Chuine Isabelle,2024,Les forêts françaises face au changement climatique,True,A référencer
HAL,Chuine Isabelle,2024,Journée Observatoire des Saisons,True,A référencer
HAL,Landmann Guy,2024,Le hêtre face aux changements climatiques,True,A référencer
HAL,Lebourgeois François F.,2024,"Observations phénologiques des arbres forestiers : concepts, intérêts et problématiques actuelles",True,A référencer
HAL,Morin Xavier,2024,Variation in cold hardiness and carbohydrate concentration from dormancy induction to bud burst among provenances of three European oak species,True,A référencer
ORCID,Victor Van der Meersch,2025.0,Can inverse calibration help improving process-explicit species distribution models?,A déposer sur HAL,False
ORCID,Victor Van der Meersch,2024.0,Biological mechanisms are necessary to improve projections of species range shifts,A déposer sur HAL,False
