Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Cousin Isabelle,2025,INDIQUASOL : indicateurs de la qualité des sols,True,A référencer
HAL,Montagne David,2025,Le concept de services écosystémiques et sa déclinaison au sol : entre promesses et réalités,True,A référencer
HAL,Cousin Isabelle,2025,Le sol : sa diversité et ses fonctions,True,A référencer
HAL,Daële Véronique,2025,Création de jumeaux numériques environnementaux à l'interface entre les agro/écosystèmes et l'atmosphère : Projet SOL-AIR du programme JUNON,True,A référencer
HAL,Cousin Isabelle,2025,Caractérisation de la structure tridimensionnelle d'un horizon hétérogène : apport de la résistivité électrique 2D et 3D,True,A référencer
HAL,Besson Arlène,2025,Inférence de la variabilité spatio-temporelle du fonctionnement hydrodynamique des sols par résistivité électrique,True,A référencer
HAL,Seger Maud,2025,Pratiques agricoles et gestion quantitative de l'eau dans les sols,True,A référencer
HAL,Cousin Isabelle,2025,Des pratiques agricoles favorables à la protection de la ressource en eau,True,A référencer
HAL,Montagne David,2025,The Concept of Ecosystem Services and Its Application to Soil: Between Promises and Reality,True,A référencer
HAL,Bockstaller Christian,2024,Assessing soil quality using indicators: a review,True,A référencer
HAL,Bockstaller Christian,2024,Evaluer la qualité des sols à l’aide d’indicateurs : une revue,True,A référencer
HAL,Laroche Bertrand,2024,Le programme Inventaire Gestion et Conservation des Sols IGCS,True,A référencer
HAL,Bispo Antonio,2024,Dados e indicadores para avaliar e mapear a saúde do solo,True,A référencer
HAL,Rabot Eva,2024,Relevance of the organic carbon to clay ratio as a national soil health indicator,True,A référencer
HAL,Messéan Antoine,2024,"Editorial : Eau, sol et changement climatique : quelles implications pour les agronomes et les pédologues ?",True,A référencer
HAL,Cousin Isabelle,2024,"LE RU, Réservoir en Eau Utilisable des Sols. Des définitions et quelques spécificités",True,A référencer
