Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Rimet Frédéric,2025,"Omics to Study and Manage Aquatic Environments: A Snapshot From the A qua E c O mics Meeting (Evian‐les‐Bains, 2025)",True,A référencer
HAL,Orsini Luisa,2025,"AquaEcOmics meeting: exploring aquatic ecology through omics. March 17-20, 2025. Program and abstracts booklet",True,A référencer
HAL,Vautier Marine,2025,A quantitative eDNA-based approach to monitor fish spawning in lakes: Application to European perch and whitefish,True,A référencer
HAL,Gauvin Paula,2025,Environmental Matrices Need Consideration: Insights From Water and Biofilm Environmental DNA for Multi‐Taxonomic Biomonitoring,True,A référencer
HAL,Réalis-Doyelle Emilie,2025,The effect of seismic air gun shots on physiology and behaviour of fish lake communities,True,A référencer
HAL,Gauvin Paula,2025,An annotated reference library for supporting DNA metabarcoding analysis of aquatic macroinvertebrates in French freshwater environments,True,A référencer
HAL,Jenny Jean-Philippe,2025,Modélisation de la dynamique écologique long-terme des lacs profonds périalpins soumis aux changements climatiques et à des apports en nutriments,True,A référencer
HAL,Vautier Marine,2025,Three eDNA approaches correlated with the reproductive dynamics of two invasive dreissen mussels in lakes,True,A référencer
HAL,Vautier Marine,2025,A quantitative eDNA-based method to monitor spawning activity of two emblematic fish species in lake Geneva,True,A référencer
HAL,Vautier Marine,2025,A quantitative eDNA-based method to monitor whitefish spawning in lakes,True,A référencer
HAL,Dorioz Jean Marcel,2025,Les grands lacs à l'épreuve de l'Anthropocène,True,A référencer
HAL,Dupuy Christine,2024,Trophic relationships between metazooplankton communities and their plankton food sources in the Iles Eparses (Western Indian Ocean),True,A référencer
HAL,Desgué-Itier Olivia,2024,"Accumulation accrue de carbone sédimentaire malgré un contexte de ré-oligotrophisation : Cas des lacs profonds périalpins, France",True,A référencer
HAL,Rotschi Julie,2024,The paradox of increasing long-term carbon sequestration in lake ecosystems despite reoligotrophication : the case of four large French perialpine lakes,True,A référencer
HAL,Viollaz Laurine,2024,Environmental DNA approach to assess phytoplankton communities in lake environments,True,A référencer
HAL,Bettarel Yvan,2024,Ecological traits of planktonic viruses and prokaryotes along a full-salinity gradient.,True,A référencer
HAL,Domaizon Isabelle,2024,Lake sedimentary DNA to reveal long-term changes in micro - eukaryotic diversity and lake functioning: Recent advances and challenges,True,A référencer
HAL,Domaizon Isabelle,2024,Lake sedimentary DNA to reveal long-term changes in aquatic biodiversity and ecosystem functioning,True,A référencer
HAL,Domaizon Isabelle,2024,eDNA tools for ecological diagnoses in lakes and rivers,True,A référencer
HAL,Domaizon Isabelle,2024,"Paleo-reconstitutions de la diversité micro-eucaryote au service de questions en écologie lacustre : enjeux, avancées récentes, et challenges.",True,A référencer
HAL,Domaizon Isabelle,2024,Techniques ADNe appliquées aux milieux aquatiques- Ouvertures et Perspectives,True,A référencer
HAL,Domaizon Isabelle,2024,Lake sedimentary DNA to reveal long-term changes in aquatic biodiversity and ecosystem functioning,True,A référencer
HAL,Domaizon Isabelle,2024,PaleoEcoGen: Unlocking the power of ancient environmental DNA to understand past ecological trends,True,A référencer
HAL,Rimet Frédéric,2024,The Observatory on LAkes (OLA) database: Sixty years of environmental data accessible to the public,True,A référencer
HAL,Soares Laura,2024,Prospective des effets du changement climatique sur le lac d’Annecy : Tendances et défis à venir concernant les services rendus,True,A référencer
HAL,Beisel Jean-Nicolas,2024,Mise au point d'un protocole de quantification (sur la base d'une comparaison de méthodes) des populations de dreissènes (Dreissena polymorpha et Dreissena rostriformis bugensis) au sein du Léman et premières évaluations in situ Rapport final,True,A référencer
HAL,Giguet-Covex Charline,2024,The Sources and Fates of Lake Sedimentary DNA,True,A référencer
HAL,Barouillet Cécilia,2024,Protist DNA from Lake Sediments,True,A référencer
HAL,Rimet Frédéric,2024,The Observatory on LAkes (OLA) database: Sixty years of environmental data accessible to the public,True,A référencer
HAL,Salmaso Nico,2024,Biodiversity patterns of cyanobacterial oligotypes in lakes and rivers: results of a large-scale metabarcoding survey in the Alpine region,True,A référencer
HAL,Vautier Marine,2024,Plankton DNA extraction from Sterivex filter units,True,A référencer
