Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Kpemoua Tchodjowiè Panaewazou Israël,2024,Le carbone organique additionnel stocké grâce à des pratiques agroécologiques est-il stable à l'échelle de la décennie ?,True,A référencer
HAL,Chenu Claire,2024,The interplay of soil spatial heterogeneity and water in stabilizing and destabilizing soil organic matter,True,A référencer
HAL,Israel Kpemoua Tchodjowiè,2024,Is the additional organic carbon stored thanks to alternative cropping systems and organic waste products application predominantly stable at a decadal timescale?,True,A référencer
HAL,Chenu Claire,2024,Are SOC storing soils more sensitive / more vulnerable to climate change?A laboratory evaluation for microbial respiration,True,A référencer
HAL,Chenu Claire,2024,Increasing soil organic C storage and persistence in soils: levers associated with microbial and physical controls,True,A référencer
HAL,Chenu Claire,2024,Are SOC storing soils more sensitive / more vulnerable to climate change?A laboratory evaluation for temperate agricultural soils,True,A référencer
HAL,Chenu Claire,2024,Moisture controls on soil organic matter dynamics: from microbial habitats to sustainable climate-smart soils,True,A référencer
HAL,Kpemoua Tchodjowiè Israel,2024,Biogeochemical stability of additional carbon stored under alternative agricultural practices and organic waste product application: what do granulo-densimetric fractionation and Rock-Eval® thermal analysis tell us?,True,A référencer
HAL,Kpemoua Tchodjowiè Panaewazou Israël,2024,Les sols stockant du carbone sont-ils plus sensibles au changement climatique ?,True,A référencer
ORCID,Claire Chenu,2025.0,The interplay of soil spatial heterogeneity and water in stabilizing and destabilizing soil organic matter,A déposer sur HAL,False
