Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Larcanché Marie,2025,Long‐term water dynamics in the Lascaux cave karst: Impact of tree removal,True,A référencer
HAL,Ansaldi Lucile,2025,Optimisation of forest management under climate change in the French maritime pine (Pinus pinaster Aiton) forests,True,A référencer
HAL,Wang Na,2025,Xylem Hydraulic Properties of Five Pinus Species Grown in Common Environment Vary From Needles to Roots With Needle Length and Native‐Range Climate,True,A référencer
HAL,Zhang Haoyu,2025,Similar response of canopy conductance to increasing vapor pressure deficit and decreasing soil conductivity with drought among five morphologically contrasting but co-occurring pine species,True,A référencer
HAL,Labarre Clémence,2024,Viabilité du pin maritime Massif des Landes de Gascogne,True,A référencer
HAL,Huang Cheng-Wei,2024,Dynamic interactions between groundwater level and discharge by phreatophytes,True,A référencer
HAL,Boggs Johnny,2024,Water use of co‐occurring loblolly ( Pinus taeda ) and shortleaf ( Pinus echinata ) in a loblolly pine plantation in the Piedmont,True,A référencer
HAL,Joetzjer Emilie,2024,Responses of European forest fluxes to the 2022 heatwave and drought recorded by ICOS Eddy-covariance stations,True,A référencer
HAL,Mitra Bhaskar,2024,Toward spectrally truthful models for gap-filling soil respiration and methane fluxes. A case study in coastal forested wetlands in North Carolina,True,A référencer
HAL,Joetzjer Emilie,2024,Carbon assimilation limitations during and after the European 2022 drought and heat wave,True,A référencer
HAL,Fischer Milan,2024,Merging flux-variance with surface renewal methods in the roughness sublayer and the atmospheric surface layer,True,A référencer
HAL,Delpierre Nicolas,2024,Phenology across scales: an intercontinental analysis of leaf-out dates in temperate deciduous tree communities,True,A référencer
ORCID,Steven M. Anderson,2024.0,Leaf Physiological Responses and Early Senescence Are Linked to Reflectance Spectra in Salt-Sensitive Coastal Tree Species,A déposer sur HAL,False
