Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Nobile Cécile,2025.0,Développement d'outils d'aide à la fertilisation favorisant le recours aux Mafor pour les cultures tropicales,True,A référencer
HAL,Chaput Maxime,2025.0,Modeling the impact of soil and climatic variability on sugarcane growth response to mineral and organic fertilisers,True,A référencer
HAL,Auzoux Sandrine,2025.0,"AEGIS, an extended information system to support agroecological transition for sugarcane industries",True,A référencer
HAL,Chaput Maxime,2025.0,Modelling the impact of soil and climatic variability on sugarcane growth response to mineral and organic fertilisers,True,A référencer
HAL,Delattre Hadrien,2025.0,Simulating Biomass Chains for Agricultural and Bioeconomy Transitions: the agent-based model Biochains,True,A référencer
HAL,Fabre Ferber Frédérick,2025.0,Kriging and Gaussian Process Interpolation for Georeferenced Data Augmentation,True,A référencer
HAL,Fabre Ferber Frédérick,2024.0,Évaluation de critères de sélection de noyaux pour la régression Ridge à noyau dans un contexte de petits jeux de données,True,A référencer
HAL,Marcenac Pierre,2024.0,Towards an Emergence Machine for Complex Systems Simulations,True,A référencer
HAL,Hatik Christelle,2024.0,PoVaBiA: A Multi-agent Decision-Making Support Tool for Organic Waste Management,True,A référencer
HAL,Maisonhaute Tiziano,2025.0,État de l'art sur les approches en apprentissage par renforcement multi-agent.,False,A référencer
