Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Caen Auguste,2025.0,On the properties of monotone functionals for generalizing Bellman Principle,True,A référencer
HAL,Briard Diane,2025.0,Dé coïncider pour mieux anticiper : les crises alimentaires et environnementales au centre des crises systémiques,True,A référencer
HAL,Mathias Jean-Denis,2025.0,Triadic transitions of opinion dynamics in a bounded confidence model,True,A référencer
HAL,Hodbod Jennifer,2025.0,Principles for a Case Study Approach to Social Tipping Points,True,A référencer
HAL,Kittel Tim,2025.0,From lakes and glades to viability algorithms: automatic classification of system states according to the topology of sustainable management,True,A référencer
HAL,Kone Cheick Tidjane,2025.0,"Adaptive management of energy consumption, reliability and delay of wireless sensor node: Application to IEEE 802.15.4 wireless sensor node",True,A référencer
HAL,Boudarel H.,2025.0,Towards standardized mechanical characterization of microbial biofilms: analysis and critical review,True,A référencer
HAL,Cloutier Scott,2025.0,Informing the sustainable pursuit of happiness,True,A référencer
HAL,Carvalho Gabriel,2025.0,Antibiotic resilience: a necessary concept to complement antibiotic resistance?,True,A référencer
HAL,Carvalho Gabriel,2025.0,How do environment-dependent switching rates between susceptible and persister cells affect the dynamics of biofilms faced with antibiotics?,True,A référencer
HAL,Ait-Mouheb Nassim,2024.0,The challenges of Process Engineering for the reuse of treated wastewater within INRAE’s REUSE network - the need for a multidisciplinary and multi-scale approach,True,A référencer
HAL,Mathias Jean-Denis,2024.0,Bounded confidence model with fixed uncertainties and extremists: The opinions can keep fluctuating indefinitely,True,A référencer
HAL,Marette Stéphan,2024.0,Vers des recherches dé-coïncidentes dans un contexte de fragilité des écosystèmes et des systèmes agroalimentaires,True,A référencer
HAL,Lindahl Therese,2024.0,Titanic lessons for Spaceship Earth to account for human behavior in institutional design,True,A référencer
HAL,Marette Stéphan,2024.0,Une recherche dé-coïncidente pour se préparer aux crises environnementales et alimentaires,True,A référencer
ORCID,"Mathias, J.-D.",2024.0,"Correction to: Running on the Hedonic Treadmill: A Dynamical Model of Happiness Based on an Approach–Avoidance Framework (Journal of Happiness Studies, (2024), 25, 5, (58), 10.1007/s10902-024-00766-3)",A déposer sur HAL,False
ORCID,"Giang, A.",2024.0,Equity and modeling in sustainability science: Examples and opportunities throughout the process,A déposer sur HAL,False
ORCID,"Mathias, J.-D.",2024.0,Running on the Hedonic Treadmill: A Dynamical Model of Happiness Based on an Approach–Avoidance Framework,A déposer sur HAL,False
