Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Chotte Jean-Luc,2025.0,Sustainable family farming practices: cultivating biodiversity for resilience,True,A référencer
HAL,Loireau Maud,2024.0,Contribution des observatoires scientifiques à l’évaluation et au suivi de la séquestration du carbone atmosphérique,True,A référencer
HAL,Riaux Jeanne,2024.0,Franchir les frontières : pratiques de l'interdisciplinarité et construction du chercheur,True,A référencer
HAL,Atta-Krah K.,2024.0,Overview,True,A référencer
HAL,Atta-Krah K.,2024.0,Introduction,True,A référencer
HAL,Bicksler Abram J.,2024.0,Tool for Agroecology Performance Evaluation (TAPE) - Test version,True,A référencer
HAL,Mottet Anne,2024.0,Évaluation des transitions vers des systèmes agricoles et alimentaires durables : un outil pour l'évaluation des performances agroécologiques (TAPE),True,A référencer
HAL,Dorvil Weldenson,2024.0,"Stocks de carbone organique de sols en Haïti : analyse de l'effet de systèmes de culture de la commune de Saint-Raphaël, Nord d'Haïti",True,A référencer
HAL,Bonnet Bernard,2024.0,2030 : pour que la Grande Muraille Verte au Sahel soit une pleine réussite ; la recherche scientifique en actions,True,A référencer
HAL,Chotte Jean-Luc,2024.0,Quels sont les efforts de recherche pour lutter contre la désertification ?,True,A référencer
HAL,Burger P.,2024.0,Quels dispositifs d'accompagnement des acteurs des territoires pour lutter contre la désertification ?,True,A référencer
HAL,Chotte Jean-Luc,2024.0,Quels sont les impacts et résultats obtenus en matière de lutte contre la désertification à ce jour ?,True,A référencer
HAL,Chotte Jean-Luc,2024.0,Pourquoi les solutions fondées sur l'agroécologie sont-elles pertinentes ?,True,A référencer
HAL,Cornet Antoine,2024.0,"Que comprendre derrière l'expression ""lutter contre la désertification"" ?",True,A référencer
HAL,Diedhiou Arona,2024.0,Quelles sont les conséquences de la désertification sur l'atmosphère et le climat ?,True,A référencer
HAL,Soubelet H.,2024.0,Quelles sont les conséquences de la désertification sur la biodiversité ?,True,A référencer
HAL,Chotte Jean-Luc,2024.0,Quelles sont les conséquences de la désertification sur les services rendus par les sols ?,True,A référencer
HAL,Hiernaux P.,2024.0,"Quels sont les processus en cause, leurs interactions et leur localisation ?",True,A référencer
HAL,Hiernaux P.,2024.0,Le changement climatique exacerbe-t-il le processus de désertification ?,True,A référencer
HAL,Cornet Antoine,2024.0,La désertification ne concerne-t-elle que l'extension des déserts ?,True,A référencer
HAL,Bonnet Bernard,2024.0,"Désertification et changement climatique, un même combat ?",True,A référencer
