Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Frankl Amaury,2025.0,Identifying the sources of sediment using plant-based eDNA – a proof of principle analysis,True,A référencer
HAL,Maeght Jean Luc,2025.0,Saline soil remediation process for organic farming,True,A référencer
HAL,Maeght Jean Luc,2025.0,AutoDrawRoot,True,A référencer
HAL,Maeght Jean Luc,2025.0,GSM Conect Autonomous Maeght_field scanner,True,A référencer
HAL,Maeght Jean Luc,2025.0,MagicScan Autonomous Maeght_field scanner Phone application control,True,A référencer
HAL,Hammecker Claude,2025.0,Caractérisation et Modélisation du Gonflement et de l'écoulement d'un Vertisol Non Saturé,True,A référencer
HAL,Védère Charlotte,2024.0,Diversity of soil biopores and their influence on soil water infiltration under various pedoclimatic conditions,True,A référencer
HAL,Zhang Guangqi,2024.0,Root topological order drives variation of fine root vessel traits and hydraulic strategies in tropical trees,True,A référencer
HAL,Barnes Annaêl,2024.0,Effet de la végétation sur le stock de carbone organique des sols : application à la compensation écologique en zone aride,True,A référencer
ORCID,Guangqi Zhang,2024.0,Not all sweetness and light: Non‐structural carbohydrate storage capacity in tree stems is decoupled from leaf but not from root economics,A déposer sur HAL,False
