Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Moreau Delphine,2025,Collectif interdisciplinaire sur l’utilisation des plantes de service pour la régulation des bioagresseurs,True,A référencer
HAL,Auzoux Sandrine,2025,Outils et modèles pour aider à la mise en oeuvre des plantes de services,True,A référencer
HAL,Garnier Suzon,2025,Gestion des biodéchets dans les foyers Guadeloupéens : une enquête exploratoire,True,A référencer
HAL,Garnier Suzon,2024,Les biomasses résiduelles du territoire Diagnostic de la situation actuelle en Guadeloupe,True,A référencer
HAL,Auzoux Sandrine,2024,Outils et modèles pour aider à la mise en œuvre des plantes de services,True,A référencer
HAL,Penet Laurent,2024,Seed Tubers Are Not the Primary Inoculum Source in Water Yam (Dioscorea alata) Anthracnose Epidemics in the Caribbean,True,A référencer
HAL,Gumbau Margot,2024,Recruitment of parasitoid wasps by service plants for the natural regulation of Diaphania hyalinata in cucumber cropping systems in Guadeloupe,True,A référencer
HAL,Gumbau Margot,2024,Recruitment of parasitoid wasps by service plants for the natural regulation of Diaphania hyalinata in cucumber cropping systems in Guadeloupe,True,A référencer
HAL,Dentika Pauline,2024,High Genetic Diversity and Structure of Colletotrichum gloeosporioides s.l. in the Archipelago of Lesser Antilles,True,A référencer
ORCID,Laurent Penet,2024.0,Seed Tubers Are Not the Primary Inoculum Source in Water Yam (<i>Dioscorea alata</i>) Anthracnose Epidemics in the Caribbean,A déposer sur HAL,False
