Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Ramírez-Valiente José,2025,Limited plastic responses in safety traits support greater hydraulic risk under drier conditions,True,A référencer
HAL,Raynaud-Schell Brune,2025,Quantifying groundwater recharge in karstic mediterranean environments controlling surface water and energy transfers,True,A référencer
HAL,Cailleret Maxime,2025,"Éclaircir, mélanger les espèces, utiliser la migration assistée: Une évaluation de trois leviers de gestion pour adapter le pin d'Alep et le chêne vert aux sécheresses",True,A référencer
HAL,Courbet Francois,2025,Forêts et changement climatique : comprendre et modéliser le fonctionnement hydrique des arbres,True,A référencer
HAL,Ruffault Julien,2025,Modeling canopy fuel moisture content (CFMC) with the plant-hydraulic model SurEau-Ecos,True,A référencer
HAL,Raynaud--Schell Brune,2025,Modélisation des transferts d'énergie et d'eau à l'interface Surface-Atmosphère dans les forêts méditerranéenne en zone karstique,True,A référencer
HAL,Gomarasca Ulisse,2025,Leaf-level coordination principles propagate to the ecosystem scale,True,A référencer
HAL,Forrester David I,2025,The relationship between tree size and tree water-use: is competition for water size-symmetric or size-asymmetric?,True,A référencer
HAL,Gauthey Alice,2025,"High heat tolerance, evaporative cooling, and stomatal decoupling regulate canopy temperature and their safety margins in three European oak species",True,A référencer
HAL,Rambal Serge,2025,A multi-scale analysis of drought effects on intrinsic water use efficiency in a Mediterranean evergreen oak forest,True,A référencer
HAL,Ayrault Sophie,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Raynaud--Schell Brune,2025,Modelling surface water and energy transfer in karstic mediterranean forests,True,A référencer
HAL,Adeline Karine,2025,SENTHYMED/MEDOAK multi-scale experiment to validate Sentinel-2 and imaging spectroscopy vegetation products over French Mediterranean oak forests,True,A référencer
HAL,Adeline Karine,2025,Projet SentHyMED : bases de données multi-échelles et simulation de paysages de chênaies méditerranéennes par modélisation directe du transfert radiatif pour des images multi- et hysperspectrales,True,A référencer
HAL,Debue Marianne,2024,Simulations d’images hyperspectrales de forêts méditerranéennes et adéquation à des images aéroportées AVIRIS-Next Generation,True,A référencer
HAL,Moreno Myriam,2024,Hydraulic plasticity and water use regulation act to maintain the hydraulic safety margins of Mediterranean trees in rainfall exclusion experiments,True,A référencer
HAL,Yebra Marta,2024,"Globe-LFMC 2.0, an enhanced and updated dataset for live fuel moisture content research",True,A référencer
HAL,Debue Marianne,2024,Adequacy of Mediterranean forest simulations from DART radiative transfer model and UAV laser scanning data to hyperspectral images,True,A référencer
HAL,Delpierre Nicolas,2024,Growth is not just about wood : investigating the link between ecosystem carbon uptake and net primary productivity in three European forests,True,A référencer
HAL,Joetzjer Emilie,2024,Carbon assimilation limitations during and after the European 2022 drought and heat wave,True,A référencer
HAL,Sarneel Judith M,2024,Reading tea leaves worldwide: decoupled drivers of initial litter decomposition mass‐loss rate and stabilization,True,A référencer
ORCID,Laura Garcia de Jalon,2024.0,Identification of differentially methylated regions (DMRs) associated with leaf physiological acclimation to experimental long-term drought in holm oak ( Quercus ilex L.),A déposer sur HAL,False
