Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Descloitres Marc,2025,The contribution of MRS and resistivity methods to the interpretation of actual evapo‐transpiration measurements: a case study in metamorphic context in north Bénin,True,A référencer
HAL,Richard A.,2025,Interplay of riparian forest and groundwater in the hillslope hydrology of Sudanian West Africa (northern Benin),True,A référencer
HAL,Robert C,2025,Near ground results of the CO-SLIDAR Cn2 profiler,True,A référencer
HAL,Chavez-Espinoza Diego,2025,THE ADDED VALUE OF STABLE ISOTOPES TO MODEL RUNOFF GENERATION AND ECOHYDROLOGICAL PARTITIONING IN WEST AFRICA,True,A référencer
HAL,Rapp-Henry Lucie,2025,Modélisation éco-hydrologique en zones arides : Étude de l'impact de la densité racinaire sur le cycle de l'eau dans la région sahélienne,True,A référencer
HAL,Koukoui Renaud,2025,Assessing the relative importance of soil moisture and temperature on the nighttime CO2 flux: two contrasted ecosystems study cases in West Africa,True,A référencer
HAL,Cohard Jean-Martial,2025,Long term consolidated time series of sensible and latent heat fluxes of a crop mosaic using the bi-chromatic scintillometry method.,True,A référencer
HAL,Charrondière Claudine,2024,Mean flow structure of katabatic winds and turbulent mixing properties,True,A référencer
HAL,Charrondière Claudine,2024,Evidence of strong wave turbulence and of Bolgiano temperature spectra in katabatic winds on steep slopes,True,A référencer
HAL,Houngnibo Mandela Coovi Mahuwètin,2024,Stochastic disaggregation of seasonal precipitation forecasts of the West African Regional Climate Outlook Forum,True,A référencer
HAL,Bodjrenou René,2024,"Evaluation of Reanalysis Estimates of Precipitation, Radiation, and Temperature over Benin (West Africa)",True,A référencer
HAL,Merk Fabian,2024,The Significance of the Leaf-Area-Index on the Evapotranspiration Estimation in SWAT-T for Characteristic Land Cover Types of Western Africa,True,A référencer
HAL,Herzog Amelie,2024,A parametric sensitivity analysis for prioritizing regolith knowledge needs for modeling water transfers in the West African critical zone,True,A référencer
HAL,Tran Hoang,2024,Simulating Groundwater‐Streamflow Connections in the Upper Colorado River Basin,True,A référencer
HAL,Daudon Dominique,2024,"Enseigner la construction soutenable en terre à l'UGA ""projet IDES formation : e-CoLoS !",True,A référencer
HAL,Baumbach M,2024,Confort thermique d’une construction terre : méthodologie d’étude pédagogique en Master 2,True,A référencer
HAL,Hounsinou Miriam,2024,Integral turbulence characteristics over a clear woodland forest in northern Benin (West Africa),True,A référencer
HAL,Braud Isabelle,2024,Quels usages des données des observatoires de la zone critique (IR OZCAR) pour répondre aux enjeux des territoires ?,True,A référencer
HAL,Andriatahiana Salohy,2024,Saturated hydraulic conductivity spatialization strategy to model recharge and hydrogeological transfers on an industrial site in France,True,A référencer
HAL,Cohard Jean-Martial,2024,The AMMA-CATCH observatory : a platform to address scientific and societal issues in West-Africa,True,A référencer
