Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Boussemart Jean-Philippe,2025,Quels sont les déterminants tendanciels du revenu agricole en France ? (seconde partie),True,A référencer
HAL,Boussemart Jean-Philippe,2025,Quels sont les déterminants tendanciels du revenu agricole en France ? (première partie),True,A référencer
HAL,Boussemart Jean-Philippe,2025,"Balancing Profitability, Protein production, and Pesticide reduction: what are the levers for action for French arable farms?",True,A référencer
HAL,Boussemart Jean-Philippe,2025,"Balancing Profitability, Protein production, and Pesticide reduction: what are the levers for action for French arable farms?",True,A référencer
HAL,Boussemart Jean-Philippe,2025,"Balancing Profitability, Protein production, and Pesticide reduction: what are the levers for action for French arable farms?",True,A référencer
HAL,Boussemart Jean-Philippe,2025,"Balancing Profitability, Protein production, and Pesticide reduction: what are the levers for action for French arable farms?",True,A référencer
HAL,Boussemart Jean-Philippe,2025,"Balancing Profitability, Protein production, and Pesticide reduction: what are the levers for action for French arable farms?",True,A référencer
HAL,Li Lianqing,2025,"Assessing the potential of digital technology: an integrated measurement of economic, environmental, and social performance",True,A référencer
HAL,Boussemart Jean-Philippe,2025,L’impact de l’inflation sur la distribution des gains de productivité de l’agriculture française,True,A référencer
HAL,Boussemart Jean-Phillipp,2025,Influence de la distance technologique sur le co efficient de la Loi d'Okun,True,A référencer
HAL,Niu Yiran,2025,"Performance evaluation using multi-stage production frameworks: Assessing the tradeoffs among the economic, environmental, and social well-being",True,A référencer
HAL,Boussemart Jean-Philippe,2025,"Assessing Opportunity Costs Under Conflicting Objectives: Application to Profitability, Pesticide Reduction, and Crop Production",True,A référencer
HAL,Boussemart Jean-Philippe,2024,Characterization of production sets through individual returns-to-scale: A non parametric specification and an illustration with the U.S industries,True,A référencer
HAL,Boussemart Jean-Philippe,2024,Value-based performance and its decomposition into direct price and quantity effects,True,A référencer
HAL,Aboukaïs Rabih,2024,Impact of COVID-19 pandemic on patients with intracranial aneurysm rupture.,True,A référencer
HAL,Ayouba Kassoum,2024,"An indirect, Luenberger approach to price performance",True,A référencer
