Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Jenny Jean-Philippe,2025,Modélisation de la dynamique écologique long-terme des lacs profonds périalpins soumis aux changements climatiques et à des apports en nutriments,True,A référencer
HAL,Dorioz Jean Marcel,2025,Les grands lacs à l'épreuve de l'Anthropocène,True,A référencer
HAL,Desgué-Itier Olivia,2024,"Accumulation accrue de carbone sédimentaire malgré un contexte de ré-oligotrophisation : Cas des lacs profonds périalpins, France",True,A référencer
HAL,Desgué-Itier Olivia,2024,Toward long-term modelling of the thermal regime and oxygen solubility of perialpine lakes,True,A référencer
HAL,Desgué-Itier Olivia,2024,Hindcast/forecast of thermal regime and oxygen solubility in four perialpine lakes using 1D model and OLA observatory data,True,A référencer
HAL,Rotschi Julie,2024,The paradox of increasing long-term carbon sequestration in lake ecosystems despite reoligotrophication : the case of four large French perialpine lakes,True,A référencer
HAL,Jenny Jean-Philippe,2024,Exploring Human-Induced Perturbations in Holocene Lateral Carbon Fluxes through Lake Sediment Archives,True,A référencer
HAL,Jenny Jean-Philippe,2024,Projecting thermal stratification and hypolimnetic oxygen conditions by coupling paleolimnological and 1D lake model approaches,True,A référencer
HAL,Arnaud Fabien,2024,A tribute to Bruno Wilhelm’s legacy in reading the geological record of lakes,True,A référencer
HAL,Zilkey David R,2024,Canadian lakes are changing in response to anthropogenic disturbances: a Pan-Canadian geochemical study using micro-X-ray fluorescence sediment core-scanning.,True,A référencer
HAL,Jenny Jean-Philippe,2024,Unraveling Temporal Complexities in Lake Science through Sediment Records and Process-Based Models,True,A référencer
HAL,Jenny Jean-Philippe,2024,Fonctionnement des Écosystèmes Lacustres et Séquestration du Carbone à l’Anthropocène,True,A référencer
HAL,Mazure Théo,2024,Quantifying the impacts of landscape opening on alpine soil erosion dynamics during the Holocene,True,A référencer
HAL,Soares Laura,2024,Prospective des effets du changement climatique sur le lac d’Annecy : Tendances et défis à venir concernant les services rendus,True,A référencer
HAL,Jenny Jean-Philippe,2024,Suivi environnemental des eaux du lac du Bourget pour l’année 2023,True,A référencer
HAL,Jenny Jean-Philippe,2024,"Human societies began to play a significant role in global sediment transfer 4,000 years ago",True,A référencer
ORCID,David R. Zilkey,2025.0,Canadian lakes are changing in response to anthropogenic disturbances: a Pan-Canadian geochemical study using micro-X-ray fluorescence sediment core-scanning.,A déposer sur HAL,False
ORCID,Jean-Philippe Jenny,2025.0,Unraveling Temporal Complexities in Lake Science through Sediment Records and Process-Based Models&#160;,A déposer sur HAL,False
