Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Veselská Veronika,2025,Synergistic pharmaceutical interactions with nanoscale iron nitrides and natural organic matter,True,A référencer
HAL,Moquet Jean-Sébastien,2025,Co-construire l’enseignement de la transition écologique pour un développement soutenable : retour d’expérience,True,A référencer
HAL,Daële Véronique,2025,Création de jumeaux numériques environnementaux à l'interface entre les agro/écosystèmes et l'atmosphère : Projet SOL-AIR du programme JUNON,True,A référencer
HAL,Crapart Camille,2025,Specific carbon fluxes in rivers from long-term monitoring,True,A référencer
HAL,Ayrault Sophie,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Elliot Sandoval,2025,Comparaison des communautés de diatomées observées dans les tourbières de la Plaine Jacquot (RNN des Sagnes de la Godivelle) et de la Guette,True,A référencer
HAL,Regard V.,2025,"Corrigendum to “Contrasting physical erosion rates in cratonic catchments: The Ogooué and Mbei rivers, Western Central Africa” [Gondwana Res. 138 (2025) 192–209]",True,A référencer
HAL,Novello Valdir Felipe,2025,Investigating δ13C values in stalagmites from tropical South America for the last two millennia,True,A référencer
HAL,Moquet Jean-Sébastien,2025,Temporal variability and annual budget of inorganic dissolved matter in Andean Pacific Rivers located along a climate gradient from northern Ecuador to southern Peru,True,A référencer
HAL,Braud Isabelle,2024,Quels usages des données des observatoires de la zone critique (IR OZCAR) pour répondre aux enjeux des territoires ?,True,A référencer
HAL,Regard Vincent,2024,"Physical erosion rates in Ogooué and Mbei Rivers (Gabon, Western Central Africa): insights for Cratonic Catchments.",True,A référencer
HAL,Guinoiseau Damien,2024,"The Si and Li isotope signatures of chemical weathering in tectonically quiescent, tropical areas",True,A référencer
