Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Kempf Jean,2025,Critique de la photographie contemporaine,True,A référencer
HAL,Raynaud-Schell Brune,2025,Quantifying groundwater recharge in karstic mediterranean environments controlling surface water and energy transfers,True,A référencer
HAL,Raynaud--Schell Brune,2025,Modélisation des transferts d'énergie et d'eau à l'interface Surface-Atmosphère dans les forêts méditerranéenne en zone karstique,True,A référencer
HAL,Reizine Florian,2025,Association between selective digestive decontamination and decreased rate of acquired candidemia in mechanically ventilated ICU patients: a multicenter nationwide study,True,A référencer
HAL,Albert Cécile H.,2025,Prospective SIC 2023 Document de synthèse préliminaire des ateliers,True,A référencer
HAL,Kempf Jean,2025,"[ Entretien avec ] Jean Kempf : la photographie des États-Unis ou ""comment se tenir devant les choses",True,A référencer
HAL,Ayrault Sophie,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Raynaud--Schell Brune,2025,Modelling surface water and energy transfer in karstic mediterranean forests,True,A référencer
HAL,Cosme Vincent,2025,Central venous catheter-related infection: does insertion site still matter? A French multicentric cohort study,True,A référencer
HAL,Reizine Florian,2025,Relationship between SARS-CoV-2 infection and ICU-acquired candidemia in critically ill medical patients: a multicenter prospective cohort study,True,A référencer
HAL,Adeline Karine,2025,SENTHYMED/MEDOAK multi-scale experiment to validate Sentinel-2 and imaging spectroscopy vegetation products over French Mediterranean oak forests,True,A référencer
HAL,Adeline Karine,2025,Projet SentHyMED : bases de données multi-échelles et simulation de paysages de chênaies méditerranéennes par modélisation directe du transfert radiatif pour des images multi- et hysperspectrales,True,A référencer
HAL,Delpierre Nicolas,2024,Growth is not just about wood : investigating the link between ecosystem carbon uptake and net primary productivity in three European forests,True,A référencer
HAL,Kempf Jean,2024,La couleur du réel : la photographie couleur(s) a-t-elle un sens ? (États-Unis 1960-1990),True,A référencer
HAL,Kempf Jean,2024,Retrouver « la promesse de la vie américaine » : le New Deal et la culture,True,A référencer
