Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Farhani Nesrine,2025,Evapotranspiration estimates in Sahel regions using an ensemble contextual model: medium &amp; high spatial resolution data comparison,True,A référencer
HAL,Mwangi Samuel,2025,Ensemble evapotranspiration estimates and uncertainties: EVASPA,True,A référencer
HAL,Chaffaut Quentin,2025,Detectability of the daily evapotranspiration cycle in superconducting gravimeter timeseries according to the measurement configuration,True,A référencer
HAL,Raynaud-Schell Brune,2025,Quantifying groundwater recharge in karstic mediterranean environments controlling surface water and energy transfers,True,A référencer
HAL,Olioso Albert,2025,Daily Evapotranspiration and Water Stress L2 products from the TRISHNA mission.,True,A référencer
HAL,Farhani Nesrine,2025,Remotely sensed evapotranspiration estimates in Sahel regions using EVASPA S-SEBI Sahel (E3S) model: Uncertainty analysis,True,A référencer
HAL,Boulet Gilles,2025,Continuous daily evapotranspiration and water stress algorithms for TRISHNA Level-3 products,True,A référencer
HAL,Raynaud--Schell Brune,2025,Modélisation des transferts d'énergie et d'eau à l'interface Surface-Atmosphère dans les forêts méditerranéenne en zone karstique,True,A référencer
HAL,Collet Léna,2025,Modélisation de l’évolution des ressources hydrologiques et végétales au Sahel agropastoral sous contrainte climatique et anthropique,True,A référencer
HAL,Rapp-Henry Lucie,2025,Modélisation éco-hydrologique en zones arides : Étude de l'impact de la densité racinaire sur le cycle de l'eau dans la région sahélienne,True,A référencer
HAL,Etchanchu Jordi,2025,Impact des pratiques agricoles sur la modélisation écohydrologique en zone agropastorale endoréique sahélienne,True,A référencer
HAL,Delenne Carole,2025,Sensitivity and uncertainty analysis of flash flood propagation: local vs global approaches,True,A référencer
HAL,Cohard Jean-Martial,2025,Long term consolidated time series of sensible and latent heat fluxes of a crop mosaic using the bi-chromatic scintillometry method.,True,A référencer
HAL,Ayrault Sophie,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Ollivier Chloé,2025,"Caractérisation des processus éco-hydro-géologique autour du site de Ceyrac (Pompignan, Gard)",True,A référencer
HAL,Cappelaere B.,2025,"Eau bleue, eau verte, production végétale : modélisation des changements éco-hydrologiques dans un petit bassin-versant sahélien (sud-ouest Niger)",True,A référencer
HAL,Raynaud--Schell Brune,2025,Modelling surface water and energy transfer in karstic mediterranean forests,True,A référencer
HAL,Grippa Manuela,2025,Modeling Surface Runoff and Water Fluxes over Contrasted Soils in the Pastoral Sahel: Evaluation of the ALMIP2 Land Surface Models over the Gourma Region in Mali,True,A référencer
HAL,Cappelaere B.,2025,"Eau bleue, eau verte, production végétale : modélisation des changements éco-hydrologiques dans un petit bassin-versant sahélien (sud-ouest Niger)",True,A référencer
HAL,Mcnally A.,2025,Estimating Sahelian and East African soil moisture using the Normalized Difference Vegetation Index,True,A référencer
HAL,Demarty Jérôme,2025,Comparison of measured and SISPAT-RS simulated brightness temperatures and reflectances at field scale during ReSeDA experiment,True,A référencer
HAL,Olioso Albert,2025,Monitoring energy and mass transfers during the Alpilles-ReSeDA experiment,True,A référencer
HAL,Olioso Albert,2025,SVAT modeling over the Alpilles-ReSeDA experiment: comparing SVAT models over wheat fields,True,A référencer
HAL,Demarty Jérôme,2025,Effect of aerodynamic resistance modelling on SiSPAT-RS simulated surface fluxes,True,A référencer
HAL,Mangeney A,2025,Mesh size selection in a soil-biosphere-atmosphere transfer model,True,A référencer
HAL,Demarty Jérôme,2025,Using a multiobjective approach to retrieve information on surface properties used in a SVAT model,True,A référencer
HAL,Duffour C.,2025,Development of a simple parametric model to simulate the directional effects in the thermal infrared domain,True,A référencer
HAL,Ibrahim Maïmouna,2025,"Long-term increase in diffuse groundwater recharge following expansion of rainfed cultivation in the Sahel, West Africa",True,A référencer
HAL,Schepanski K.,2025,"The sensitivity of nocturnal low‐level jets and near‐surface winds over the Sahel to model resolution, initial conditions and boundary‐layer set‐up",True,A référencer
HAL,Tagesson Torbern,2025,Spatiotemporal variability in carbon exchange fluxes across the Sahel,True,A référencer
HAL,Olioso Albert,2025,Monitoring Evapotranspiration with Remote Sensing Data and Ground Data Using Ensemble Model Averaging,True,A référencer
HAL,Farhani Nesrine,2025,Spatially remotely sensed evapotranspiration estimates in Sahel regions using an ensemble contextual model : structural uncertainty estimation and reduction,True,A référencer
HAL,Ollivier Chloé,2025,The contribution of remote sensing data assimilation to simulate daily evapotranspiration of irrigated and non-irrigated crops in semi-arid context,True,A référencer
HAL,Olioso Albert,2025,Multimodel – multidata simulations for mapping evapotranspiration and its uncertainty of estimation from remote sensing data,True,A référencer
HAL,Hassane Bil-Assanou Issoufou,2025,Contribution des arbustes au fonctionnement hydrique et carboné des parcs agroforestiers à Guiera senegalensis J.F. Gmel : observations et modélisation,True,A référencer
HAL,Mwangi Samuel,2024,Ensemble Estimation of Evapotranspiration Using EVASPA: a Multi-Data Multi-Method Analysis,True,A référencer
HAL,Batiot-Guilhe Christelle,2024,Long term monitoring of a Mediterranean karst system used for water supply. Implication for the characterizationand modelling of its dynamics. Case of the Lez karst system (MEDYCYSS Observatory),True,A référencer
HAL,Etchanchu Jordi,2024,Modélisation éco-hydrologique en zone agropastorale endoréique au Sahel : impact des pratiques agricoles et apport de la télédétection,True,A référencer
HAL,Etchanchu Jordi,2024,Review and evaluation of global evapotranspiration products in Sahelian region,True,A référencer
ORCID,Samuel Mwangi,2025.0,Ensemble evapotranspiration estimates and uncertainties: EVASPA,A déposer sur HAL,False
ORCID,Lena Collet,2025.0,Climate Change impacts on hydrological and plant resources in the agro-pastoral Sahel,A déposer sur HAL,False
ORCID,Lucie Rapp-Henry,2025.0,Eco-hydrology modelling in arid areas : Study of root density impact on water fluxes in the Sahelian region,A déposer sur HAL,False
ORCID,Brune Raynaud--Schell,2025.0,Modelling surface water and energy transfer in karstic mediterranean forests,A déposer sur HAL,False
ORCID,Albert Olioso,2025.0,Multimodel &#8211; multidata simulations for mapping evapotranspiration and its uncertainty of estimation from remote sensing data,A déposer sur HAL,False
