Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Guo Jiye,2025,Reconciling chemical weathering rates across scales: Application of uranium-series isotope systematics in volcanic weathering clasts from Basse-Terre Island (French Guadeloupe),True,A référencer
HAL,Henine Hocine,2025,"Oracle-Orgeval, Long-term Research observatory of the critical zone",True,A référencer
HAL,Aquilina Luc,2025,"L’Anthropocène, un objet frontière qui signifie plus qu’une tranche de temps géologique",True,A référencer
HAL,Blanc Nathalie,2025,Vers une science de l’habitabilité de la Terre,True,A référencer
HAL,Ackerer Julien,2025,Ecohydrological modeling in three contrasted watersheds from OZCAR research infrastructure,True,A référencer
HAL,Zacharias Steffen,2025,"Fifteen Years of Integrated Terrestrial Environmental Observatories (TERENO) in Germany: Functions, Services, and Lessons Learned",True,A référencer
HAL,Lhosmot Alexandre,2024,"The paradox of karstic peatlands: a combined hydrological and geochemical study in the Frasne peatland, French Jura Mountains",True,A référencer
HAL,Sabatier Pierre,2024,"Erosion physique au sein de la Zone Critique : calibration d’enregistrement sédimentaire avec des données d’observation in-situ (Kamech, OZCAR)",True,A référencer
HAL,Ackerer Julien,2024,Modélisation en transport-réactif de la géochimie des eaux dans quatre bassins versants de montagne en contexte carbonaté (IR OZCAR),True,A référencer
HAL,Regard Vincent,2024,"Physical erosion rates in Ogooué and Mbei Rivers (Gabon, Western Central Africa): insights for Cratonic Catchments.",True,A référencer
HAL,Nord Guillaume,2024,RBV : réseau des bassins versants,True,A référencer
HAL,Nord Guillaume,2024,RBV : réseau des bassins versants,True,A référencer
HAL,Hankard Fatim,2024,OZCAR: the French Critical Zone initiative: connecting the Earth’s skin observatories,True,A référencer
HAL,Gaillardet Jérôme,2024,Critical Zone science: a new scientific paradigm?,True,A référencer
HAL,Nord Guillaume,2024,"RBV: Réseau des Bassins Versants, a French resource for the exploration of the Critical Zone",True,A référencer
HAL,André François,2024,The RBV metadata catalog,True,A référencer
HAL,André François,2024,The RBV metadata catalog,True,A référencer
HAL,Ackerer Julien,2024,Exploring the landscape heterogeneity and the hydrological diversity in three contrasted observatories of the French critical zone research infrastructure OZCAR,True,A référencer
HAL,Rapuc William,2024,"Human and climate impacts on the Critical Zone dynamic over the past 10,000 years in the French Alps",True,A référencer
HAL,Maniglier Patrice,2024,"Jérôme Gaillardet, voyage en terre méconnue",True,A référencer
HAL,Li Si-Liang,2024,Sulfuric acid as an agent of carbonate weathering constrained by δ13CDIC: Examples from Southwest China,True,A référencer
HAL,Dellinger Mathieu,2024,Riverine Li isotope fractionation in the Amazon River basin controlled by the weathering regimes,True,A référencer
HAL,Hilton Robert G.,2024,Erosion of organic carbon in the Arctic as a geological carbon dioxide sink,True,A référencer
HAL,Floury Paul,2024,Linking Dynamic Water Storage and Subsurface Geochemical Structure Using High‐Frequency Concentration‐Discharge Records,True,A référencer
HAL,Blanchouin Arnaud,2024,Validation des données haute fréquence sur l'observatoire ORACLE. Réseau des bassins versants,True,A référencer
