Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Bizeul Rémi,2025.0,"Quantification of erosion sources in a tropical volcanic insular catchment (Galion river, Martinique, France): application of sediment tracing tools to coastal marine environment",True,A référencer
HAL,Poulenard J.,2025.0,Water repellency of volcanic ash soils from Ecuadorian páramo: effect of water content and characteristics of hydrophobic organic matter,True,A référencer
HAL,Elleaume Nicolas,2025.0,Uncertainties in future ecosystem services under land and climate scenarios: The case of erosion in the Alps,True,A référencer
HAL,Foucher Anthony,2025.0,Persistence of environmental DNA in cultivated soils: implication of this memory effect for reconstructing the dynamics of land use and cover changes,True,A référencer
HAL,Khedim Norine,2025.0,Topsoil organic matter build‐up in glacier forelands around the world,True,A référencer
HAL,Rosero Pedro,2025.0,Multi‐taxa colonisation along the foreland of a vanishing equatorial glacier,True,A référencer
HAL,Messager Erwan,2025.0,"Two Millennia of Complexity and Variability in a Perialpine Socioecological System (Savoie, France): The Contribution of Palynology and sedaDNA Analysis",True,A référencer
HAL,Giguet-Covex Charline,2025.0,Long-term trajectories of mountain agro-ecosystems in the North-Western Alps,True,A référencer
HAL,Bajard Manon,2025.0,Pastoralism increased vulnerability of a subalpine catchment to flood hazard through changing soil properties,True,A référencer
HAL,Perrette Yves,2025.0,Revisiting the fingerprint of organic matters in speleothem by Electron Paramagnetic Resonance,True,A référencer
HAL,Guerrieri Alessia,2025.0,Metabarcoding data reveal vertical multitaxa variation in topsoil communities during the colonization of deglaciated forelands,True,A référencer
HAL,Bajard Manon,2025.0,Pastoralism increased vulnerability of a subalpine catchment to flood hazard through changing soil properties,True,A référencer
HAL,Arnaud Fabien,2024.0,A tribute to Bruno Wilhelm’s legacy in reading the geological record of lakes,True,A référencer
HAL,Marchal Lise,2024.0,Polycyclic aromatic hydrocarbon dynamics in soils along proglacial chronosequences in the Alps,True,A référencer
HAL,Moulin Cyril,2024.0,Prospective en sciences de la planète et de l’univers,True,A référencer
HAL,Rossi Magali,2024.0,"HERMIN – Héritage des exploitations minières : transfert, rémanence et remobilisation du plomb, de l’antimoine et du nickel dans la zone critique",True,A référencer
HAL,Arpin Isabelle,2024.0,Organising and enacting inter-organisational coordination in long-term social-ecological monitoring,True,A référencer
HAL,Rapuc William,2024.0,"Human and climate impacts on the Critical Zone dynamic over the past 10,000 years in the French Alps",True,A référencer
HAL,Ficetola Gentile Francesco,2024.0,Dynamics of Ecological Communities Following Current Retreat of Glaciers,True,A référencer
HAL,Davtian Nina,2024.0,Consideration of soil types for the calibration of molecular proxies for soil pH and temperature using global soil datasets and Vietnamese soil profiles,True,A référencer
ORCID,Billur Bektaş,2025.0,Traits and functions of alpine plant communities respond strongly but not always sufficiently to in situ climate change,A déposer sur HAL,False
ORCID,Christine Alewell,2025.0,Assessing soil health quantitatively at European scale considering soil genesis,A déposer sur HAL,False
ORCID,Lise Marchal,2025.0,Polycyclic Aromatic Hydrocarbon Contents in Soil Organic Matter Fractions Along an Elevation Gradient in the French Alps,A déposer sur HAL,False
ORCID,"Marchal, Lise",2025.0,Polycyclic Aromatic Hydrocarbon Contents in Soil Organic Matter Fractions Along an Elevation Gradient in the French Alps,A déposer sur HAL,False
ORCID,"Marchal, L.",2025.0,Polycyclic Aromatic Hydrocarbon Contents in Soil Organic Matter Fractions Along an Elevation Gradient in the French Alps,A déposer sur HAL,False
ORCID,"Dumas, K.",2025.0,"Correction to: Cushion plants as soil engineers: the formation of islands of fertility differ between species in nival environments(Plant Soil, 10.1007/s11104-025-07274-0)",A déposer sur HAL,False
ORCID,"Dumas, Keyvan",2025.0,Cushion plants as soil engineers: the formation of islands of fertility differ between species in nival environments,A déposer sur HAL,False
ORCID,"Dumas, K.",2025.0,Cushion plants as soil engineers: the formation of islands of fertility differ between species in nival environments,A déposer sur HAL,False
ORCID,"Marchal, Lise",2025.0,Polycyclic aromatic hydrocarbon contents and distributions in soils of the northern French Alps,A déposer sur HAL,False
ORCID,"Marchal, L.",2025.0,Polycyclic aromatic hydrocarbon contents and distributions in soils of the northern French Alps,A déposer sur HAL,False
ORCID,Lise Marchal,2025.0,Polycyclic aromatic hydrocarbon contents and distributions in soils of the northern French Alps,A déposer sur HAL,False
ORCID,"Goury, R.",2025.0,The Role of Earthworms in Mediating Environmental Impacts on Mountain Ecosystem Functioning,A déposer sur HAL,False
ORCID,"Thuiller, W.",2024.0,ORCHAMP: an observation network for monitoring biodiversity and ecosystem functioning across space and time in mountainous regions,A déposer sur HAL,False
ORCID,Wilfried Thuiller,2024.0,ORCHAMP: an observation network for monitoring biodiversity and ecosystem functioning across space and time in mountainous regions,A déposer sur HAL,False
