Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Pärtel Meelis,2025.0,Global impoverishment of natural vegetation revealed by dark diversity,True,A référencer
HAL,Zheng Liting,2025.0,Neighbourhood diversity increases tree growth in experimental forests more in wetter climates but not in wetter years,True,A référencer
HAL,Cailleret Maxime,2025.0,"Éclaircir, mélanger les espèces, utiliser la migration assistée: Une évaluation de trois leviers de gestion pour adapter le pin d'Alep et le chêne vert aux sécheresses",True,A référencer
HAL,Guillemot Joannès,2024.0,Tree growth strategies mediate drought resistance in species-diverse forests,True,A référencer
HAL,Sergent A.S.,2025.0,A comparison of five methods to assess embolism resistance in trees,True,A référencer
ORCID,Hernán Serrano‐León,2025.0,Multiyear Drought Strengthens Positive and Negative Functional Diversity Effects on Tree Growth Response,A déposer sur HAL,False
ORCID,Xavier Morin,2025.0,"More species, more trees: The role of tree packing in promoting forest productivity",A déposer sur HAL,False
ORCID,Hernán Serrano-León,2024.0,Multi-year drought strengthens positive and negative functional diversity effects on tree growth response,A déposer sur HAL,False
ORCID,Florian Schnabel,2024.0,Tree diversity increases carbon stocks and fluxes above- but not belowground in a tropical forest experiment,A déposer sur HAL,False
ORCID,Leen Depauw,2024.0,Enhancing Tree Performance Through Species Mixing: Review of a Quarter-Century of TreeDivNet Experiments Reveals Research Gaps and Practical Insights,A déposer sur HAL,False
ORCID,"Schnabel, F.",2024.0,Neighbourhood species richness and drought-tolerance traits modulate tree growth and δ<SUP>13</SUP>C responses to drought,A déposer sur HAL,False
ORCID,F. Schnabel,2024.0,Neighbourhood species richness and drought‐tolerance traits modulate tree growth and δ13C responses to drought,A déposer sur HAL,False
