Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Calone Roberta,2025,Assessing the Environmental and Productive Implications of Soil Management Strategies for Sustainable Agriculture: A Combined Process-Based Modelling and Fuzzy Logic-Based Index Approach,True,A référencer
HAL,Calone Roberta,2025,Revealing trade-offs in cropping systems sustainability by piecing together pedo-climatic datasets and agronomic knowledge with fuzzy logic,True,A référencer
HAL,Delandmeter Mathieu,2025,"Estimating CO2 fluxes (GPP, RECO, NEE) of diversified crop rotations from STICS outputs",True,A référencer
HAL,Sobaga Antoine,2025,The First year of the French lysimetric network,True,A référencer
HAL,Valentin Célestin,2025,Reducing the use of plant protection products and greenhouse gas emissions in arable farming systems in northern France (System-Eco+),True,A référencer
HAL,Sándor Renáta,2025,Experimental and simulated data for crop and grassland production and carbon-nitrogen fluxes,True,A référencer
HAL,Sobaga Antoine,2024,Decreasing trend of groundwater recharge with limited impact of intense precipitation: Evidence from long-term lysimeter data,True,A référencer
HAL,Agbohessou Yélognissè,2024,Modelling CO2 and N2O emissions from a tropical semi-arid parkland cultivated with groundnut and millet,True,A référencer
HAL,Peyrard Céline,2024,Management practices of Miscanthus x giganteus strongly influence soil properties and N2O emissions,True,A référencer
HAL,Peyrard Céline,2024,Combining a field experiment and modelling to understand the effect of management practices on N2O emissions in Miscanthus x giganteus,True,A référencer
HAL,Mary Bruno,2024,Chapter 12. Carbon and nitrogen transformations in soil and balances,True,A référencer
HAL,Léonard Joël,2024,"Chapter 10. Transfers in soil: water, nitrate and heat fluxes",True,A référencer
HAL,Bazzi Hassan,2024,Assimilating Sentinel-2 data in a modified vegetation photosynthesis and respiration model (VPRM) to improve the simulation of croplands CO2 fluxes in Europe,True,A référencer
ORCID,Joel Leonard,2024.0,"Optimizing Nigerian road reliability by defining poor road causes, maintenance strategies and application.",A déposer sur HAL,False
