Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Bastos Alexandra,2025,Light response of karyostrophy in the benthic pennate diatom Pleurosigma strigosum (Bacillariophyceae): A complimentary photoprotective process?,True,A référencer
HAL,Morelle Jérôme,2025,Light induced transthylakoidal proton gradient is a key signal driving the downward migration of motile diatoms in sediments,True,A référencer
HAL,Kernalléguen Ingrid,2025,"Optical properties of a benthic diatom, Pleurosigma strigosum, from the subtidal sediment of the bay of Brest",True,A référencer
HAL,Guérin Sébastien,2024,Photoperiodic dependent regulation of photosynthesis in the polar diatom Fragilariopsis cylindrus,True,A référencer
HAL,Volpe Charlotte,2024,Skeletonema marinoi ecotypes show specific habitat‐related responses to fluctuating light supporting high potential for growth under photobioreactor light regime,True,A référencer
HAL,Morelle Jérôme,2024,The Photoprotective Behavior of a Motile Benthic Diatom as Elucidated from the Interplay Between Cell Motility and Physiological Responses to a Light Microgradient Using a Novel Experimental Setup,True,A référencer
HAL,Lavaud Johann,2024,What can Arctic diatoms do for you ?,True,A référencer
HAL,Rivaud Audrey,2024,DYCOFEL -Interdépendances Hommes--Nature : analyse dynamique des changements d'usages conchylicoles sur le fonctionnement des écosystèmes littoraux,True,A référencer
HAL,Lavaud Johann,2024,Functional ecophysiology of planktonic and benthic diatoms : from the photosystem to the ecosystem,True,A référencer
HAL,Lavaud Johann,2024,Stratégies d’adaptation des diatomées phytoplanctoniques aux variations de l’intensité lumineuse rencontrées dans leur environnement naturel,True,A référencer
ORCID,"Joli, Nathalie",2024.0,Hypometabolism to survive the long polar night and subsequent successful return to light in the diatom <i>Fragilariopsis cylindrus</i>,A déposer sur HAL,False
