Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Gantner Johannes,2025,Peripheral infrastructure vectors and an extended set of plant parts for the Modular Cloning system,True,A référencer
HAL,Kumar Neelendra,2025,Further analysis of barley MORC1 using a highly efficient RNA‐guided Cas9 gene‐editing system,True,A référencer
HAL,Sharma Mayank,2025,Targeting specificity of nuclear-encoded organelle proteins with a self-assembling split-fluorescent protein toolkit,True,A référencer
HAL,Lapin Dmitry,2025,A Coevolved EDS1-SAG101-NRG1 Module Mediates Cell Death Signaling by TIR-Domain Immune Receptors,True,A référencer
HAL,Ordon Jana,2025,Optimized Cas9 expression systems for highly efficient Arabidopsis genome editing facilitate isolation of complex alleles in a single generation,True,A référencer
HAL,Ordon Jana,2025,"Disentangling cause and consequence: genetic dissection of the <i>DANGEROUS MIX2</i> risk locus, and activation of the DM2h NLR in autoimmunity",True,A référencer
HAL,Grützner Ramona,2025,High-efficiency genome editing in plants mediated by a Cas9 gene containing multiple introns,True,A référencer
HAL,Stuttmann Johannes,2025,Highly efficient multiplex editing: one-shot generation of 8× Nicotiana benthamiana and 12× Arabidopsis mutants,True,A référencer
HAL,Guardini Zeno,2025,Thylakoid grana stacking revealed by multiplex genome editing of LHCII encoding genes,True,A référencer
HAL,Leonetti Paola,2025,Regulation of plant antiviral defense genes via host RNA-silencing mechanisms,True,A référencer
HAL,Zönnchen Josua,2024,EDS1 complexes are not required for PRR responses and execute TNL‐ETI from the nucleus in Nicotiana benthamiana,True,A référencer
HAL,Prautsch Jennifer,2024,Effector XopQ-induced stromule formation in Nicotiana benthamiana depends on ETI signaling components ADR1 and NRG1,True,A référencer
HAL,Zeng Yanhong,2024,Arabidopsis PHYTOALEXIN DEFICIENT 4 promotes the maturation and nuclear accumulation of immune-related cysteine protease RD19,True,A référencer
HAL,Unger Kerstin,2024,Glucosinolate structural diversity shapes recruitment of a metabolic network of leaf-associated bacteria,True,A référencer
HAL,Huang Wen,2024,Receptor-like cytoplasmic kinases of different subfamilies differentially regulate SOBIR1/BAK1-mediated immune responses in Nicotiana benthamiana,True,A référencer
ORCID,Isobel L. Dodds,2025.0,Immunity gene silencing increases transient protein expression in Nicotiana benthamiana,A déposer sur HAL,False
ORCID,Isobel L. Dodds,2025.0,Immunity gene silencing increases transient protein expression in Nicotiana benthamiana,A déposer sur HAL,False
