Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Yan Xingcheng,2025,Reservoirs change pCO2 and water quality of downstream rivers: Evidence from three reservoirs in the Seine Basin,True,A référencer
HAL,Nguyen An Truong,2025,Does eutrophication enhance greenhouse gas emissions in urbanized tropical estuaries?,True,A référencer
HAL,Garnier Josette,2025,Greenhouse Gas Emissions and Drivers in Tropical Estuaries: Insights from the Mekong Delta and Saigon River (Vietnam),True,A référencer
HAL,Henine Hocine,2025,"Oracle-Orgeval, Long-term Research observatory of the critical zone",True,A référencer
HAL,Billen Gilles,2025,Beyond the Farm to Fork Strategy: Methodology for designing a European agro-ecological future,True,A référencer
HAL,Yan Xingcheng,2025,Seasonal variation in greenhouse gas concentrations and diffusive fluxes in three river–reservoir systems in the Seine Basin (France),True,A référencer
HAL,Ayrault Sophie,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Gallois Nicolas,2025,Impacts des pollutions diffuses agricoles sur la ressource en eau,True,A référencer
HAL,Wang Shuaitao,2024,Bayesian inversion of bacterial physiology and dissolved organic carbon biodegradability on water incubation data,True,A référencer
HAL,Filali Ahlem,2024,Évaluation des émissions de N2O liées au rejet des effluents de l’assainissement dans les eaux superficielles,True,A référencer
HAL,Thieu V.,2024,Introducing the biogeochemical pyNuts-Riverstrahler model to assess prospective scenario impact along the aquatic continuum in western EU-rivers,True,A référencer
HAL,Wang Shuaitao,2024,The community-centered freshwater biogeochemistry model unified RIVE v1.0: a unified version for water column,True,A référencer
HAL,Mander Ülo,2024,High denitrification potential but low nitrous oxide emission in a constructed wetland treating nitrate-polluted agricultural run-off,True,A référencer
HAL,Thieu Vincent,2024,pyRIVE,True,A référencer
ORCID,Josette Garnier,2025.0,Toward sustainability of territorial agro-food systems in Europe: indicators for assessing alternative scenarios,A déposer sur HAL,False
ORCID,Josette Garnier,2025.0,"Sources and fate of CO2 along the soil–aquifer–stream–atmosphere continuum (the Orgeval headwater catchment, France)",A déposer sur HAL,False
ORCID,Estela Romero,2024.0,Nitrogen in agri-food systems and the environment: Next steps to a sustainable future,A déposer sur HAL,False
