Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Bamiere Laure,2025.0,Storing carbon in French agricultural soils: potential and cost of additionnal storage,True,A référencer
HAL,Lopes dos Santos Mariely,2025.0,Evaluation of soybean multi-model responses to elevated CO2 with experimental data,True,A référencer
HAL,Constantin Julie,2025.0,Implantation des cultures intermédiaires: assurer la réussite de la levée pour produire les services écosystémiques visés,True,A référencer
HAL,Lopes dos Santos Mariely,2025.0,Soybean Multi-Model Simulations Under Elevated Atmospheric CO2,True,A référencer
HAL,Pull Manon,2024.0,"Doubles cultures : opportunités, faisabilité et multi-performances de cultiver trois cultures en deux ans dans le Sud-Ouest de la France. Connaissances acquises issues du projet CASDAR 3C2A",True,A référencer
HAL,Kothari Kritika,2025.0,How Well Can Soybean Models Simulate Daily Evapotranspiration?,True,A référencer
HAL,Salmerón Montserrat,2024.0,Opportunities for improving simulation of evapotranspiration based on sensitivity analysis of multiple soybean models.,True,A référencer
HAL,Kothari Kritika,2025.0,"AgMIP Soybean Phase 1: Multi-Model Sensitivity to CO 2 , Temperature, Water, and Nitrogen",True,A référencer
HAL,Debaeke Philippe,2024.0,Impacts du changement climatique sur la culture de soja et possibilités d’adaptation,True,A référencer
HAL,Nendel Claas,2024.0,Future soybean productivity in Europe,True,A référencer
HAL,Schoving Céline,2024.0,Assessing the suitability of soybean crop in France under present and future climates by a simple phenological model,True,A référencer
HAL,Lopes dos Santos Mariely,2024.0,"Variability of soybean models for simulation of crop nitrogen dynamics under changing CO2, temperature, water, and nitrogen fertilization.",True,A référencer
HAL,Willaume Magali,2024.0,Impacts of cover crops on N mineral fertilization and consequences for agroenvironmental performances of maize monocrop in climate change context,True,A référencer
HAL,Duchalais Apolline,2024.0,Évaluation de l’aire de culture potentielle du soja en France sous climat actuel et futur.,True,A référencer
HAL,Constantin Julie,2024.0,Application d’une chaîne de modélisation basée sur STICS à l’évaluation des potentialités de culture actuelles et futures du soja en Europe,True,A référencer
HAL,Duchalais Apolline,2024.0,Combining simple cultivar phenotyping and photothermal algorithm to explore the present and future suitability of soybean crop in France,True,A référencer
HAL,Kothari Kritika,2024.0,High uncertainty in soybean models for simulation of crop N dynamics under variable CO2 and Nitrogen fertilization,True,A référencer
HAL,Nand Viveka,2024.0,Evaluation of Multimodel Averaging Approaches for Ensembling Evapotranspiration and Yield Simulations from Maize Models,True,A référencer
HAL,Launay Camille,2024.0,Potential production of energy cover crop in France: consequences on food crop production and environmental impacts based on scenarios simulation at high resolution,True,A référencer
HAL,Hoffmann Holger,2024.0,Variability of effects of spatial climate data aggregation on regional yield simulation by crop models,True,A référencer
HAL,Maharjan Ganga Ram,2024.0,Effects of input data aggregation on simulated crop yields in temperate and Mediterranean climates,True,A référencer
HAL,Debaeke Philippe,2024.0,Availability and integration of agro-environmental data : the French case,True,A référencer
HAL,Launay Camille,2024.0,Correction to: Incorporating energy cover crops for biogas production into agricultural systems: benefits and environmental impacts. A review,True,A référencer
HAL,Debaeke Philippe,2024.0,Risques et opportunités liés à la double culture dans le Sud-Ouest de la France,True,A référencer
HAL,Caquet Thierry,2024.0,"Enjeux agronomiques, techniques et économiques d'une mobilisation accrue des différents gisements de biomasse et de leur transformation en bioénergies",True,A référencer
HAL,Beaudoin Nicolas,2024.0,Ways of STICS use,True,A référencer
HAL,Poeplau Christopher,2024.0,Cover crops do increase soil organic carbon stocks—A critical comment on Chaplot and Smith (2023),True,A référencer
HAL,Senges Hugo,2024.0,"Cadre de modélisation pour développer et évaluer la durabilité de scénarios de bioéconomie sur des territoires contrastés à grande échelle, France et Europe",False,A référencer
