Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Pérémé Margaud,2025,SoilFract: A mechanistic model accounting for the fate of exogenous organic matter in soil carbon and nitrogen cycles,True,A référencer
HAL,Jimenez Julie,2025,Typologie des propriétés physico-chimiques des produits organiques en fonction de l’origine et des procédés,True,A référencer
HAL,Pérémé M.,2025,Integrated modelling of anaerobic digestion process chain for scenario assessment,True,A référencer
HAL,Jimenez Julie,2025,Guide des bonnes pratiques d’utilisation des digestats de méthanisation pour optimiser leurs intérêts agronomiques. Rapport final de l'étude,True,A référencer
HAL,Beline Fabrice,2025,La méthanisation agricole en France : contribution à la transition agroécologique ou opportunité énergétique ?,True,A référencer
HAL,Beline Fabrice,2025,La méthanisation agricole en France. Contribution à la transition agroécologique ou opportunité énergétique ?,True,A référencer
HAL,Michaud Aurélia Marcelline,2024,Proposition d’une classification des digestats de méthanisation basée sur leurs propriétés et leurs effets attendus,True,A référencer
HAL,Maynaud Géraldine,2024,Élimination de bactéries pathogènes dans les digestats agricoles par compétition avec les bactéries indigènes,True,A référencer
HAL,Jimenez Julie,2024,Intégration des bioprocédés de valorisation des résidus organiques pour une gestion durable des agroécosystèmes,True,A référencer
HAL,Fernández-Domínguez David,2024,Impact des conditions opératoires sur la stabilité des digestats et leur devenir dans les sols,True,A référencer
HAL,Pérémé Margaud,2024,Développement d'une approche intégrée pour évaluer les qualités des produits et l'impact environnemental de la digestion anaérobie,True,A référencer
HAL,Fernández-Domínguez David,2024,Retention Time In Anaerobic Digestion: Leveraging Digestate Quality For Enhanced C And N Dynamics In Soils,True,A référencer
HAL,Pérémé Margaud,2024,Integrated modelling of the AD process chain for scenario assessment and optimization,True,A référencer
HAL,Beline Fabrice,2024,"La méthanisation agricole en France, entre opportunité énergétique et transition agroécologique (partie 2)",True,A référencer
HAL,Beline Fabrice,2024,"La méthanisation agricole en France, entre opportunité énergétique et transition agroécologique (partie 1)",True,A référencer
