Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Ansart C.,2025,"Lateritic Cenozoic paleoenvironmental and paleoclimatic conditions in the Central Amazon basin, Brazil, inferred from mineralogy, geochemistry and geochronology",True,A référencer
HAL,Guinoiseau Damien,2025,"How to constrain long-term laterite formation using a multi-isotopic approach (Cr, Fe, Li).",True,A référencer
HAL,Fekiacova-Castanet Zuzana,2025,Past changes of weathering regime in laterites recorded in Fe isotope signal preserved in Fe oxyhydroxides.,True,A référencer
HAL,Henine Hocine,2025,"Oracle-Orgeval, Long-term Research observatory of the critical zone",True,A référencer
HAL,Golla Jon K.,2025,Antecedent Hydrologic Conditions Reflected in Stream Lithium Isotope Ratios During Storms,True,A référencer
HAL,Crapart Camille,2025,Specific carbon fluxes in rivers from long-term monitoring,True,A référencer
HAL,Aranda Reina Celia,2025,Quantifying the impacts of exogenous dust inputs to the critical zone using reactive transport modeling,True,A référencer
HAL,Ayrault Sophie,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Lhosmot Alexandre,2024,"The paradox of karstic peatlands: a combined hydrological and geochemical study in the Frasne peatland, French Jura Mountains",True,A référencer
HAL,Golla Jon K,2024,Weathering Incongruence in Mountainous Mediterranean Climates Recorded by Stream Lithium Isotope Ratios,True,A référencer
HAL,Druhan Jennifer L,2024,Ecological regulation of chemical weathering recorded in rivers,True,A référencer
HAL,Guertin Andrew,2024,Stable silicon isotope fractionation reflects the routing of water through a mesoscale hillslope,True,A référencer
HAL,Moulin Cyril,2024,Prospective en sciences de la planète et de l’univers,True,A référencer
HAL,Wittmann H.,2024,Denudation and Weathering Rates of Carbonate Landscapes From Meteoric <sup>10</sup>Be/<sup>9</sup>Be Ratios,True,A référencer
HAL,Praharaj Akanksha,2024,Understanding the effect of hydrology on chemical weathering in the European Alps with Li and Sr,True,A référencer
HAL,Golla Jon,2024,Stream lithium isotope ratios record antecedent and transient hydrological conditions in catchment weathering exports,True,A référencer
HAL,Regard Vincent,2024,"Physical erosion rates in Ogooué and Mbei Rivers (Gabon, Western Central Africa): insights for Cratonic Catchments.",True,A référencer
HAL,Guinoiseau Damien,2024,"The Si and Li isotope signatures of chemical weathering in tectonically quiescent, tropical areas",True,A référencer
HAL,Rapuc William,2024,"Human and climate impacts on the Critical Zone dynamic over the past 10,000 years in the French Alps",True,A référencer
HAL,Dellinger Mathieu,2024,Riverine Li isotope fractionation in the Amazon River basin controlled by the weathering regimes,True,A référencer
HAL,Hilton Robert G.,2024,Erosion of organic carbon in the Arctic as a geological carbon dioxide sink,True,A référencer
HAL,Floury Paul,2024,Linking Dynamic Water Storage and Subsurface Geochemical Structure Using High‐Frequency Concentration‐Discharge Records,True,A référencer
