Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Beillouin Damien,2025.0,"Agroforestry and soil organic carbon in the Latin American and Caribbean region, a meta-analysis",True,A référencer
HAL,Demenois Julien,2025.0,Séquestration du carbone dans le sol : une solution pour atténuer le changement climatique et s'y adapter ?,True,A référencer
HAL,Demenois Julien,2025.0,Filière et développement du teck en Inde du sud: quel avenir pour les plantations privées ?,True,A référencer
HAL,Demenois Julien,2025.0,"Les sols sous les effets du changement climatique. Perspectives géopolitiques, options d'atténuation et d'adaptation",True,A référencer
HAL,Blanfort Vincent,2025.0,Les systèmes agricoles et alimentaires face au changement climatique,True,A référencer
HAL,Demenois Julien,2025.0,Surviving the jungle of soil organic carbon certification standards: an analytic and critical review,True,A référencer
HAL,Demenois Julien,2025.0,"Les sols, des milieux fragiles à protéger",True,A référencer
HAL,Blanfort Vincent,2025.0,"Changements climatiques et agriculture : quels enjeux, quels impacts aujourd'hui et demain ?",True,A référencer
HAL,Blanfort Vincent,2025.0,L'agriculture et les systèmes alimentaires du monde face au changement climatique. Enjeux pour les Suds,True,A référencer
HAL,Blanfort Vincent,2025.0,Atlas des agricultures du monde et des systèmes alimentaires face au changement climatique,True,A référencer
HAL,Beillouin Damien,2024.0,A global meta-analysis of soil organic carbon in the Anthropocene,True,A référencer
HAL,Pons Suzanne,2024.0,Agriculture : stockage de carbone et impact des pratiques,True,A référencer
HAL,Beillouin Damien,2024.0,"A global database of land management, land-use change and climate change effects on soil organic carbon",True,A référencer
HAL,Poeplau Christopher,2024.0,Cover crops do increase soil organic carbon stocks—A critical comment on Chaplot and Smith (2023),True,A référencer
HAL,Angers Denis,2024.0,A well‐established fact: rapid mineralization of organic inputs is an important factor for soil carbon sequestration,True,A référencer
