Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Nguyen An Truong,2025,Does eutrophication enhance greenhouse gas emissions in urbanized tropical estuaries?,True,A référencer
HAL,Garnier Josette,2025,Greenhouse Gas Emissions and Drivers in Tropical Estuaries: Insights from the Mekong Delta and Saigon River (Vietnam),True,A référencer
HAL,Crapart Camille,2025,Specific carbon fluxes in rivers from long-term monitoring,True,A référencer
HAL,Caracciolo Romane,2025,Impact of a megacity on the water quality of a tropical estuary assessed by a combination of chemical analysis and in-vitro bioassays,True,A référencer
HAL,Ayrault Sophie,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Nguyen Thanh-Tin,2025,Nutrient recovery and microalgae biomass production from urine by membrane photobioreactor at low biomass retention times,True,A référencer
HAL,Lamouroux Nicolas,2025,Généraliser les connaissances locales pour informer les approches globales : leçons de recherches de la Zone Atelier du Bassin du Rhône.,True,A référencer
HAL,Hydrométérologique Méditerranéen Cévennes-Vivarais Observatoire,2025,Visite des bassins instrumentés « Olivier de Serres » de l’OHMCV,True,A référencer
HAL,Tisserand Delphine,2024,"Dissolved organic carbon (DOC) analyses: vials, sample filtration and acidification, matrix effects and stability",True,A référencer
HAL,Némery Julien,2024,Origine et devenir du phosphore dans le continuum aquatique de la Seine des petits bassins amont à l'Estuaire : rôle du phosphore échangeable sur l'eutrophisation,True,A référencer
HAL,Nguyen A.T.,2024,Biogeochemical functioning of an urbanized tropical estuary: Implementing the generic C-GEM (reactive transport) model,True,A référencer
HAL,Némery Julien,2024,Modeling urban waters using TONIC model in large metropolitan areas: comparison between Lyon (France) and Ho Chi Minh City (Vietnam),True,A référencer
