Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Sarneel Judith M,2025,The Assumptions of the Tea Bag Index and Their Implications: A Reply to Mori 2025,True,A référencer
HAL,Augusto Laurent,2025,Récoltes intensives de biomasse et maintien de la fertilité des sols,True,A référencer
HAL,He Xianjin,2024,Bedrock modulates the elevational patterns of soil microbial communities,True,A référencer
HAL,Hua Xiaobin,2024,Site-specific nutrient data reveal the importance of soils in driving the Mycorrhizal make-up of woody vegetation worldwide,True,A référencer
HAL,Augusto Laurent,2024,"Response of soil and vegetation in a warm-temperate Pine forest to intensive biomass harvests, phosphorus fertilisation, and wood ash application",True,A référencer
HAL,Pousse Noémie,2024,Gestion durable des sols forestiers : nouvelles connaissances et boite à outils,True,A référencer
HAL,Augusto Laurent,2024,Evaluation du puits de carbone dans les sols forestiers français,True,A référencer
HAL,Paré David,2024,"Recarbonizing global soils – A technical manual of recommended management practices. Volume 5: Forestry, wetlands, urban soils – Practices overview. Chapter 2. Continuous cover forestry and extended rotations.",True,A référencer
HAL,Gonzalez Maya,2024,Regeneración natural de Pinus pinaster Ait.. en bosques de dunas atlánticas: factores ambientales y silvicultura,True,A référencer
HAL,Bon Lucie,2024,Effects of fertilisation and understory removal on aboveground and belowground carbon stocks in wet and dry moorlands in south-western France,True,A référencer
HAL,Khalfallah Fadwa,2024,Les traits des essences forestières déterminent la composition de la matière organique du sol en interaction avec le contexte pédoclimatique,True,A référencer
HAL,Derrien Delphine,2024,Les pratiques et facteurs influençant le stockage de carbone organique dans les sols forestiers,True,A référencer
HAL,Saint‐andré Laurent,2024,Sols - Impacts de la gestion sur la fertilité et le carbone des sols forestiers,True,A référencer
HAL,Augusto Laurent,2024,"Identify strategies that optimize the carbon sink in forests: ""the impossible equation?",True,A référencer
HAL,Augusto Laurent,2024,Addressing questions about ecosystem nutrition: main concepts and pitfalls,True,A référencer
HAL,Pousse Noémie,2024,Gestion durable des sols forestiers : nouvelles connaissances et boîte à outils,True,A référencer
HAL,Fanin Nicolas,2024,"Relative importance of climate, soil and plant functional traits during the early decomposition stage of standardized litter",True,A référencer
HAL,Niollet Sylvie,2024,Conception d’un préleveur destiné à quantifier les banques de graines des sols,True,A référencer
HAL,He Xianjin,2024,Global patterns and drivers of phosphorus fractions in natural soils,True,A référencer
HAL,Sarneel Judith M,2024,Reading tea leaves worldwide: decoupled drivers of initial litter decomposition mass‐loss rate and stabilization,True,A référencer
HAL,Deirmendjian Loris,2024,Hydrological and ecological controls on dissolved carbon concentrations in groundwater and carbon export to surface waters in a temperate pine forest watershed,True,A référencer
HAL,Caquet Thierry,2024,"Enjeux agronomiques, techniques et économiques d'une mobilisation accrue des différents gisements de biomasse et de leur transformation en bioénergies",True,A référencer
HAL,Ringeval Bruno,2024,A global dataset on phosphorus in agricultural soils,True,A référencer
ORCID,Nan Yang,2025.0,Leaf economic strategies drive global variation in phosphorus stimulation of terrestrial plant production,A déposer sur HAL,False
