Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Boubacar Moussa Moussa,2025,"Escherichia coli in the Niger River: Links to environmental variables and anthropogenic activities in Niamey city, Niger",True,A référencer
HAL,Hiernaux Pierre,2025,Woody plant decline in the Sahel of western Niger (1996–2017):is it driven by climate or land use changes?,True,A référencer
HAL,Grippa Manuela,2025,Modeling Surface Runoff and Water Fluxes over Contrasted Soils in the Pastoral Sahel: Evaluation of the ALMIP2 Land Surface Models over the Gourma Region in Mali,True,A référencer
HAL,Olioso Albert,2025,SVAT modeling over the Alpilles-ReSeDA experiment: comparing SVAT models over wheat fields,True,A référencer
HAL,Tagesson Torbern,2025,Spatiotemporal variability in carbon exchange fluxes across the Sahel,True,A référencer
HAL,Brandt Martin,2024,Assessing woody vegetation trends in Sahelian drylands using MODIS based seasonal metrics,True,A référencer
HAL,Brandt Martin,2024,Reduction of tree cover in West African woodlands and promotion in semi-arid farmlands,True,A référencer
HAL,Harmel Tristan,2024,Impact of sediment mineralogy and size distribution on forward modeling and inversion scheme for retrieval of optically active water constituents in moderate to highly turbid waters,True,A référencer
HAL,Grippa Manuela,2024,Water color over extremely bright waters by high resolution optical satellite sensors: perspectives for monitoring hydrological processes in semiarid regions,True,A référencer
HAL,Kergoat Laurent,2024,Dynamics of Bright Surface Waters in the Sahel,True,A référencer
HAL,Robert Elodie,2024,"A tele-epidemiological approach to the health hazard linked to diarrheal diseases and indication of vulnerability criteria for a global study of the health risk (Kapore, Burkina Faso)",True,A référencer
HAL,de Fleury Mathilde,2024,Use of Optical Imagery and Altimetry to Monitor Small Water Bodies in Sahel,True,A référencer
HAL,Boubacar Moussa Moussa,2024,Suspended particulate matter and water fecal pollution in the Niger River at Niamey,True,A référencer
HAL,Grippa Manuela,2024,Integrated monitoring of small water bodies from space: example for the Sahel,True,A référencer
HAL,Robert Elodie,2024,"A tele-epidemiological approach to the health hazard linked to diarrheal diseases (Kapore, Burkina Faso)",True,A référencer
HAL,Robert Elodie,2024,"Earth observation for monitoring the health hazard linked to diarrheal diseases (Kapore, Burkina Faso)",True,A référencer
HAL,Robert Elodie,2024,Bacterial water pollution and diarrheal diseases in West Africa,True,A référencer
HAL,Harmel Tristan,2024,Relevance of Radiative Transfer Approximation for Forward Model and Inversion Scheme for Retrieval of Optically Active Water Constituents,True,A référencer
HAL,Robert Elodie,2024,Caractérisation de l’environnement d’E. coli dans les eaux de surface et risques sanitaires en Afrique de l’Ouest,True,A référencer
HAL,Robert Elodie,2024,Contribution of remote sensing to the monitoring of infectious diseases and focus on environmental monitoring of E. coli in West Africa,True,A référencer
HAL,Robert Elodie,2024,Characterization of the E. coli environment in surface waters and health risks in West Africa,True,A référencer
