Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Mofini Marie-Thérèse,2025.0,Author Correction: Cultivated and wild pearl millet display contrasting patterns of abundance and co-occurrence in their root mycobiome,True,A référencer
HAL,de la Fuente Carla,2025.0,Glutaredoxin regulation of primary root growth is associated with early drought stress tolerance in pearl millet,True,A référencer
HAL,Nakombo-Gbassault Princia,2025.0,Genetic control of the leaf ionome in pearl millet and correlation with root and agromorphological traits,True,A référencer
HAL,Djighaly Pape Ibrahima,2025.0,Effect of Casuarina Plantations Inoculated with Arbuscular Mycorrhizal Fungi and Frankia on the Diversity of Herbaceous Vegetation in Saline Environments in Senegal,True,A référencer
HAL,Vadez Vincent,2025.0,Publisher Correction: Crop traits and production under drought,True,A référencer
HAL,Reichheld Jean-Philippe,2025.0,"ROXY19, an evolutionary conserved land plant glutaredoxin involved in primary root growth associated with drought stress tolerance in pearl millet",True,A référencer
HAL,a Trujillo-Hernandez José,2025.0,REDOX CONTROL OF ARABIDOPSIS ROOT DEVELOPMENT ADAPTATION TO ENVIRONMENTAL CONSTRAINTS VIA THE GLUTAREDOXIN ROXY19,True,A référencer
HAL,de Smet Ive,2024.0,Auxin-dependent regulation of lateral root positioning in the basal meristem of Arabidopsis,True,A référencer
HAL,Hirt H.,2024.0,A paradigm shift in agricultural research to tackle climate change,True,A référencer
HAL,Hirt H.,2024.0,Changer de paradigme en recherche agricole pour contrer le changement climatique,True,A référencer
HAL,Champion Antony,2024.0,Inhibition of auxin signaling in Frankia species-infected cells in Casuarina glauca nodules leads to increased nodulation,True,A référencer
HAL,Hirt Heribert,2024.0,PlantACT! – how to tackle the climate crisis,True,A référencer
HAL,Cot Michel,2024.0,Guide méthodologique Miriades : analyse multidimensionnelle des impacts de la recherche et de ses innovations sur le développement des sociétés du Sud,True,A référencer
HAL,Cot Michel,2024.0,Miriades methodology guide : multidimensional impact analysis of research and resulting innovation on development in the global South,True,A référencer
HAL,Cot Michel,2024.0,Guia metodologica Miriades : analisis multidimensional del impacto de la investigacion y sus innovaciones en el desarrollo de las sociedades del Sur,True,A référencer
HAL,Vidal Laurent,2024.0,"Etude prospective en soutien à la programmation européenne conjointe : rapport final [Etat des connaissances scientifiques sur les grands enjeux du développement, scénarios d'évolution au Sénégal]",True,A référencer
ORCID,Pablo Affortit,2024.0,Keep in touch: the soil–root hydraulic continuum and its role in drought resistance in crops,A déposer sur HAL,False
