Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Julien Andréa,2025,7000 years of vegetation dynamics and agro-pastoral activities on the glières plateau (french northern alps),True,A référencer
HAL,Julien Andréa,2025,A methodological approach to elaborate a modern reference in order to evaluate the application of the Landscape Reconstruction Algorithm in the Northern French Alps,True,A référencer
HAL,Julien Andréa,2025,"A 7,000 years trajectory of socio-ecosystems in the montane belt of the northern French Alps",True,A référencer
HAL,Julien Andréa,2025,Performance of the REVEALS model to reconstruct present mountain vegetation cover in the North-Western Alps: A model evaluation for past land cover reconstruction,True,A référencer
HAL,Röhm Caterina,2024,Holocene REVEALS-based diversity changes across Europe,True,A référencer
HAL,Serge Maria Antonia,2024,Pollen-based land-cover change in Europe over the Holocene : exploring the resilience of vegetation communities and species dynamics through time,True,A référencer
HAL,Mazier Florence,2024,"PEPES PAYSAGE 2016 POPEYE. Du pollen aux paléopaysages montagnards, vers un développement méthodologique",True,A référencer
HAL,Githumbi E.,2024,Quantitative Land-cover change in west African over the Holocene : Case Study Cameroon,True,A référencer
HAL,Marquer Laurent,2024,"Palaeovegetation at the Pont-de-Lavaud hominin site, lower Pleistocene, Central France",True,A référencer
HAL,Ergin Esra,2024,Relative Pollen Productivity Estimates for Mediterranean Plant Taxa: A New Study Region in Turkey,True,A référencer
HAL,Julien Andréa,2024,Evaluation of the Landscape Reconstruction Algorithm in the Northern French Alps: a methodological approach with modern analogues,True,A référencer
HAL,Bisson Ugo,2024,Pollen productivity estimates for past land-cover reconstruction in mountains regions,True,A référencer
HAL,Rohm Caterina,2024,Changes in plant diversity and vegetation structure based on REVEALS reconstructed vegetation in Europe during the Holocene,True,A référencer
ORCID,Emma Antoine,2024.0,Legacy of last millennium timber use on plant cover in Central Europe: Insights from tree rings and pollen,A déposer sur HAL,False
ORCID,Honghao Niu,2024.0,Drivers of land cover and plant compositional changes in Northeast China since the mid-Holocene: Climate versus human activities,A déposer sur HAL,False
