Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Vieira Christophe,2025,"Diversity, systematics and biogeography of French Polynesian <i>Lobophora</i> (Dictyotales, Phaeophyceae)",True,A référencer
HAL,Vieira Christophe,2025,"Diversity, systematics and biogeography of French Polynesian <i>Lobophora</i> (Dictyotales, Phaeophyceae)",True,A référencer
HAL,Suranyi Thomas,2025,Chironomid assemblages in surface sediments from 182 lakes across New England and Eastern Canada: Development and validation of a new summer temperature transfer function,True,A référencer
HAL,Suranyi Thomas,2025,Chironomid assemblages in surface sediments from 182 lakes across New England and Eastern Canada: Development and validation of a new summer temperature transfer function,True,A référencer
HAL,Heiri Oliver,2024,Validation of climate model-inferred regional temperature change for late-glacial Europe,True,A référencer
HAL,Heiri Oliver,2024,Validation of climate model-inferred regional temperature change for late-glacial Europe,True,A référencer
HAL,Lapellegerie Pierre,2024,"Chironomid-inferred summer temperature during the Last Glacial Maximum in the Southern Black Forest, Central Europe",True,A référencer
HAL,Lapellegerie Pierre,2024,"Chironomid-inferred summer temperature during the Last Glacial Maximum in the Southern Black Forest, Central Europe",True,A référencer
ORCID,Maximilian Prochnow,2024.0,Late Glacial summer paleohydrology across Central Europe,A déposer sur HAL,False
ORCID,Augustin Feussom Tcheumeleu,2024.0,"An 8500-year history of climate-fire-vegetation interactions in the eastern maritime black spruce–moss bioclimatic domain, Québec, Canada",A déposer sur HAL,False
ORCID,P. Boussagol,2024.0,Carbonate mud production in lakes is driven by degradation of microbial substances,A déposer sur HAL,False
