Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Omorou Abdou-Moutawakirou Yacoubou,2025,Proportionate universalism intervention is effective for tackling nutritional social gradient in adolescents: the PRALIMAP-INÈS mixed randomised trial,True,A référencer
HAL,Boulet Nicolas,2025,"Intensive Care Unit activity in France from the national database between 2013 and 2019: More critically ill patients, shorter stay and lower mortality rate",True,A référencer
HAL,Manneville Florian,2025,P09-07 Physical activity and sedentary behaviour patterns among French adults during the COVID-19 health crisis,True,A référencer
HAL,Monet Clément,2025,Short- and long-term outcomes and 15-year time trends of kidney replacement therapy in critically ill patients with obesity: an observational cohort,True,A référencer
HAL,Fournil Céline,2025,High success rates of ultrasound‐guided distal internal jugular vein and axillary vein approaches for central venous catheterization: A randomized controlled open‐label pilot trial,True,A référencer
HAL,Romaniuc Rustam,2025,The limits of behavioral nudges to increase youth turnout: Experimental evidence from two French elections,True,A référencer
HAL,Jabaudon Matthieu,2025,Thoracic epidural analgesia in intensive care unit patients with acute pancreatitis: the EPIPAN multicenter randomized controlled trial,True,A référencer
HAL,Carrié Cédric,2025,Early non-invasive ventilation and high-flow nasal oxygen therapy for preventing endotracheal intubation in hypoxemic blunt chest trauma patients: the OptiTHO randomized trial,True,A référencer
HAL,Blanc Maurice,2025,"Laurent Muller, <i>Les résidents étrangers à Strasbourg</i>",True,A référencer
HAL,Jabaudon Matthieu,2025,Inhaled Sedation in Acute Respiratory Distress Syndrome,True,A référencer
HAL,Mauroux Adèle,2025,Angiogenesis and full thickness wound repair in a cell sheet-based vascularized skin substitute,True,A référencer
HAL,Vallet Sylvain D,2025,The Interactome of Cancer-Related Lysyl Oxidase and Lysyl Oxidase-Like Proteins,True,A référencer
HAL,Boulet Nicolas,2025,"Activité des réanimations françaises à partir d’une base de données nationale entre 2013 et 2019 : une gravité en augmentation, mais des durées de séjour et un taux de mortalité en baisse",True,A référencer
HAL,Gris Jean-Christophe,2025,The association between D‐dimers in COVID‐19 patients and mortality remains beset of uncertainties,True,A référencer
HAL,Boulet Nicolas,2024,"Central venous catheter-related infections: a systematic review, meta-analysis, trial sequential analysis and meta-regression comparing ultrasound guidance and landmark technique for insertion",True,A référencer
HAL,Gauss Tobias,2024,Intrahospital trauma flowcharts — Cognitive aids for intrahospital trauma management from the French Society of Anaesthesia and Intensive Care Medicine (SFAR) and the French Society of Emergency Medicine (SFMU),True,A référencer
HAL,Tidadini Fatah,2024,Patient factors associated with embolization or splenectomy within 30 days of initiating surveillance for splenic trauma,True,A référencer
HAL,L'Hermitte Nicolas,2024,Rendimiento diagnóstico de un algoritmo basado en ecografía clínica para el diagnóstico de insuficiencia cardiaca aguda en pacientes que consultan en urgencias por disnea,True,A référencer
HAL,Ughetto Aurore,2024,Early temporary mechanical circulatory support for cardiogenic shock: real-life data from a regional cardiac assistance network,True,A référencer
HAL,Muller Laurent,2024,"Le besoin moral de solidarité, ou la fraternité comme idéal anomique",True,A référencer
HAL,Perez Jean-Michel,2024,"Micro-violences, surveillance biopolitique et faillite de l'Humanisme éducatif français",True,A référencer
HAL,Muller Laurent,2024,"Jean-Marie Guyau, ou l’anomie comme idéal de laïcité",True,A référencer
HAL,Muller Laurent,2024,Jean-Marie Guyau ou l'éthique sans modèle,True,A référencer
HAL,Mauroux Adèle,2024,Papillary and reticular fibroblasts generate distinct microenvironments that differentially impact angiogenesis,True,A référencer
HAL,Kundura Lucy,2024,Low Percentage of Perforin-Expressing NK Cells during Severe SARS-CoV-2 Infection: Consumption Rather than Primary Deficiency,True,A référencer
HAL,Moya Carlos Abraham,2024,A new framework to support Lean Six Sigma deployment in SMEs,True,A référencer
HAL,Romaniuc Rustam,2024,The limits of behavioral nudges to increase youth turnout: Experimental evidence from two French elections,True,A référencer
HAL,Ichai Carole,2024,Acute kidney injury in the perioperative period and in intensive care units (excluding renal replacement therapies),True,A référencer
HAL,Muller laurent,2024,Le harcèlement à l’école : un « effet loupe » des micro-violences à l’aune de la responsabilité enseignante et institutionnelle,True,A référencer
HAL,Mariojouls Catherine,2024,"Perceptions des consommateurs en Finlande, France et Espagne sur les méthodes de reproduction et d'amélioration génétique en pisciculture",True,A référencer
HAL,Mariojouls Catherine,2024,Is information about fish farming sufficient for European consumers ?,True,A référencer
HAL,Mariojouls Catherine,2024,State and needs for information about fish farming towards consumers in European countries,True,A référencer
HAL,Mariojouls Catherine,2024,European consumers’ perception of fish farming and need for information,True,A référencer
HAL,Mariojouls Catherine,2024,Quelle connaissance des pratiques piscicoles et besoins d'information des consommateurs Européens?,True,A référencer
HAL,Mariojouls Catherine,2024,Quelle information sur la pisciculture reçoivent et souhaitent les consommateurs Européens?,True,A référencer
HAL,Latvala Terhi,2024,European consumers' awardess and infirmation needs for fish farming practices,True,A référencer
HAL,Mariojouls Catherine,2024,Do Consumers want information about aquaculture,True,A référencer
HAL,Dague Philippe,2024,Towards a qualitative theory of the interruption of eating behavior change,True,A référencer
HAL,Duclos Gary,2024,Can Thoracic Ultrasound on Admission Predict the Outcome of Critically Ill Patients with SARS-CoV-2? A French Multi-Centric Ancillary Retrospective Study,True,A référencer
ORCID,Chatzopoulou E,2024.0,Multiscale Imaging to Monitor Functional SHED-Supported Engineered Vessels.,A déposer sur HAL,False
ORCID,Mauroux A,2024.0,Angiogenesis and full thickness wound repair in a cell sheet-based vascularized skin substitute.,A déposer sur HAL,False
