Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Chirol Clémentine,2025.0,Territorial mapping of soil type and land cover influence on ecosystem services,True,A référencer
HAL,Chirol Clémentine,2025.0,"Estimation de la capacité de stockage additionnel de carbone organique dans les sols à horizon 2050 à l'échelle d'un petit territoire, en fonction du type de sol et de la profondeur",True,A référencer
HAL,Mezerette Florian,2025.0,"The influence of minerals and cations contents on carbon sequestration in temperate French forests’ soils, and their effects on carbon dynamics",True,A référencer
HAL,Maniatis Danae,2025.0,Evaluating the Potential of Commercial Forest Inventory Data to Report on Forest Carbon Stock and Forest Carbon Stock Changes for REDD+ under the UNFCCC,True,A référencer
HAL,Meredieu Céline,2025.0,Charter for access to IN-SYLVA France Services,True,A référencer
HAL,Meredieu Céline,2025.0,Charte d’accès aux Services d’IN-SYLVA France,True,A référencer
HAL,Roupsard Olivier,2024.0,Monitoreo de servicios ecosistémicos en un observatorio de cafetales agroforestales. Recomendaciones para el sector cafetalero,True,A référencer
HAL,Derrien Delphine,2024.0,Les pratiques et facteurs influençant le stockage de carbone organique dans les sols forestiers,True,A référencer
HAL,Saint‐andré Laurent,2024.0,Sols - Impacts de la gestion sur la fertilité et le carbone des sols forestiers,True,A référencer
HAL,Augusto Laurent,2024.0,"Identify strategies that optimize the carbon sink in forests: ""the impossible equation?",True,A référencer
