Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Harbo Laura Sofie,2025,Towards a Quantitative Estimate of Anthropogenic Subsoil Compaction in European Croplands Based on National Soil Surveys,True,A référencer
HAL,Le Maréchal Caroline,2025,Overview of botulinum neurotoxin-producing clostridia in soils in France,True,A référencer
HAL,Jolivet Claudy C.,2025,Manuel du Réseau de Mesures de la Qualité des Sols (RMQS)- V3,True,A référencer
HAL,Munera-Echeverri José-Luis,2024,Bulk density and coarse fragment content of the French soil monitoring network for better assessment of changes of soil organic carbon stocks,True,A référencer
HAL,Munera-Echeverri Jose-Luis,2024,Datasets on bulk density and coarse fragment content from the French soil quality monitoring network,True,A référencer
HAL,Delahaie Amicie,2024,Rock-Eval®-RMQS: Monitoring the Characteristics of SOM on the French Territory with Rock-Eval® 6 Thermal Analysis to Assess its Stability,True,A référencer
HAL,Munera-Echeverri José-Luis,2024,Le RMQS peut-il être utilisé pour évaluer les changements de densité apparente ?,True,A référencer
HAL,Munera-Echeverri José-Luis,2024,Assessing carbon stock changes in French top soils in croplands and grasslands: comparison of fixed depth and equivalent soil mass.,True,A référencer
HAL,Delahaie Amicie,2024,Complementarity and drivers of thermal and physical soil organic carbon fractions at the scale of mainland France,True,A référencer
HAL,Froger Claire,2024,"Spatial variations, origins, and risk assessments of polycyclic aromatic hydrocarbons in French soils",True,A référencer
