Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Avignon Marianne,2025,Feasibility of using Sentinel-2 images to detect decline in kiwifruit orchards,True,A référencer
HAL,Seimandi-Corda Gaëtan,2025,Intercropping and crop diversity: how farmers integrate species into arable systems,True,A référencer
HAL,Fanny Raoux,2025,Design of intercropping-oriented value chains : monitoring and cross-analysis of 13 multi-actor case studies,True,A référencer
HAL,Alletto Lionel,2025,Grazing cover crops: a strategy for enhancing forage autonomy and mitigating soil erosion?,True,A référencer
HAL,Coquet Yves,2025,Travail du sol et structure des sols agricoles,True,A référencer
HAL,Alletto Lionel,2025,Effets de pratiques agroécologiques sur la fertilité des sols et le cycle de l'eau sur le bassin Adour-Garonne,True,A référencer
HAL,Benoit Pierre,2025,Réduction des usages et des pertes en pesticides en agriculture de conservation : connaissances disponibles et perspectives de recherche,True,A référencer
HAL,Boizard Hubert,2025,Agriculture de conservation des sols et transition agroécologique,True,A référencer
HAL,Coquet Yves,2025,Tillage and Structure of Agricultural Soils,True,A référencer
HAL,Alletto Lionel,2024,Vrai ou faux 7. L’agriculture de conservation des sols permet d’améliorer l’efficience des pluies et d’économiser de l’eau,True,A référencer
HAL,Alletto Lionel,2024,Agriculture de conservation et eau dans le sol,True,A référencer
HAL,Gaudio Noémie,2024,Design and assessment of diversified low input cropping systems in SW France: an application of agroecological principles aiming at drastically decrease pesticides and fertilizer-N use,True,A référencer
HAL,Bouarfa Sami,2024,L'irrigation multiservice pour une transition agroécologique,True,A référencer
HAL,Celette Florian,2024,"Des plantes de services pour favoriser la fertilité des sols, la régulation du climat et du cycle de l'eau",True,A référencer
HAL,Cueff Sixtine,2024,Water and pesticide transfers in undisturbed soil columns sampled from a Stagnic Luvisol and a Vermic Umbrisol both cultivated under conventional and conservation agriculture,True,A référencer
HAL,Marín-Benito Jesús M,2024,Pesticide fate modelling in conservation tillage: Simulating the effect of mulch and cover crop on S-metolachlor leaching,True,A référencer
HAL,Mamy Laure,2024,Measurement and modelling of water flows and pesticide leaching under low input cropping systems,True,A référencer
HAL,Lammoglia Sabine-Karen,2024,Sequential use of the STICS crop model and of the MACRO pesticide fate model to simulate pesticides leaching in cropping systems,True,A référencer
HAL,Lammoglia Sabine-Karen,2024,Assessing human health risks from pesticide use in conventional and innovative cropping systems with the BROWSE model,True,A référencer
HAL,Feng Ximei,2024,Interspecific variability in seed germination and seedling emergence dynamics of cover crop species,True,A référencer
HAL,Carrière Amélie,2024,GRAAL - Management of a permanent cover crop by mowing between the rows of a main crop,True,A référencer
HAL,Seimandi-Corda Gaëtan,2024,Are intercrops and cover crops efficient to mitigate pesticide dependency and leaching risks in low input cropping systems?,True,A référencer
HAL,Seimandi-Corda Gaëtan,2024,Are intercrops and cover Crops efficient to Mitigate Pesticide Dependency and Leaching Risks in Low Input Cropping Systems?,True,A référencer
HAL,Agnan Yannick,2024,Influence of innovative agricultural practices on reducing pesticide and nitrate transfer in maize monoculture,True,A référencer
HAL,Souques Lucie,2024,"Cover crop residues mitigate impacts of water deficit on sunflower during vegetative growth with varietal differences, but not during seed development",True,A référencer
HAL,Souques Lucie,2024,Phenotypic traits of sunflower varieties vary according to the composition of cover crops,True,A référencer
HAL,Feng Ximei,2024,Strategies to improve field establishment of cover crops. A review,True,A référencer
HAL,Feng Ximei,2024,Interspecific variability in seed germination and seedling emergence of cover crop species,True,A référencer
HAL,Alletto Lionel,2024,Vrai ou faux 4. Les pesticides se dégradent mieux dans les sols de parcelles en agriculture de conservation des sols,True,A référencer
HAL,Benoit Pierre,2024,Reducing herbicide uses and losses in conservation agriculture – available knowledge and perspectives for weed control,True,A référencer
HAL,Longueval Christian,2024,Conditions de mise en oeuvre de l'agriculture de conservation dans les exploitations de grandes cultures du Sud-Ouest,True,A référencer
HAL,Debaeke Philippe,2024,Risques et opportunités liés à la double culture dans le Sud-Ouest de la France,True,A référencer
HAL,Alletto Lionel,2024,Fonctionnement hydrique de sols en Agriculture de Conservation des Sols,True,A référencer
HAL,Dupuy Alain,2024,Gestion quantitative de l’eau et usages agricoles sous contrainte climatique,True,A référencer
