Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Tous Rius Armonie,2025,Macrobenthic diversity and sediment-water exchanges of oxygen and ammonium: Example of two subtidal communities of the eastern English Channel,True,A référencer
HAL,Plègue Kentin,2025,Carbon budgets in intertidal estuaries of the Eastern Channel: Example of the Canche estuary,True,A référencer
HAL,Desroy Nicolas,2025,The intra-annual variability of soft-bottom macrobenthos abundance patterns in the North Channel of the Seine estuary,True,A référencer
HAL,Plègue Kentin,2025,Carbon budgets within temperate coastal ecosystems and comparaison with picard estuaries (north of France),True,A référencer
HAL,Denis Lionel,2025,The impact of ploughing on sediment mineralization rates in the salt marshes of the Somme estuary,True,A référencer
HAL,Décultot Camille,2025,Impact of dike removal on carbon balances in estuarine intertidal zones,True,A référencer
HAL,Gevaert François,2025,Acclimatation saisonnière chez la macroalgue Fucus serratus,True,A référencer
HAL,Barrois Jean-Marie,2024,"Modeling of phosphate flux induced by flood resuspension on a macrotidal estuarine mudflat (Seine, France)",True,A référencer
HAL,Denis Lionel,2024,"Ambient flow velocity and resulting clearance rates of the terebellid polychaete Lanice conchilega (Pallas, 1766)",True,A référencer
HAL,Desroy Nicolas,2024,The intra-annual variability of soft-bottom macrobenthos abundance patterns in the North Channel of the Seine estuary,True,A référencer
HAL,Dauvin Jean-Claude,2024,Does the Phaeocystis bloom affect the diel migration of the suprabenthos community?,True,A référencer
HAL,Spilmont Nicolas,2024,Impact of the Phaeocystis globosa spring bloom on the intertidal benthic compartment in the eastern English Channel: a synthesis.,True,A référencer
