Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Le Page Michel,2025,The proliferation of tiny irrigation tanks observed by remote sensing is in phase with groundwater depletion in Morocco.,True,A référencer
HAL,Sourp Laura,2025,"Evaluation of high-resolution snowpack simulations from global datasets and comparison with Sentinel-1 snow depth retrievals in the Sierra Nevada, USA",True,A référencer
HAL,El Hazdour Ikram,2025,A GEE TSEB workflow for daily high-resolution fully remote sensing evapotranspiration: Validation over four crops in semi-arid conditions and comparison with the SSEBop experimental product,True,A référencer
HAL,Moucha Ahmed,2025,Projection of irrigation water requirement in the south Mediterranean area using an explicit representation of irrigation processes into a land surface model: Case of the Tensift catchment (Morocco),True,A référencer
HAL,Mirgol Behnam,2025,"Recent changes in the probability of agrometeorological risks over the southern Mediterranean region, and potential impacts on crop growth",True,A référencer
HAL,Mirgol Behnam,2025,"Recent trends in vegetation phenology across the southern Mediterranean region, and potential climatic drivers",True,A référencer
HAL,Mirgol Behnam,2025,Future changes in agrometeorological extremes in the southern Mediterranean region: When and where will they affect croplands and wheatlands?,True,A référencer
HAL,Sourp Laura,2024,"Evaluation of high resolution snowpack simulations from global datasets and comparison with Sentinel-1 snow depth retrievals in the Sierra Nevada, USA",True,A référencer
HAL,Eweys Omar Ali,2024,Disaggregation of SMOS Soil Moisture to 100 m Resolution Using MODIS Optical/Thermal and Sentinel-1 Radar Data: Evaluation over a Bare Soil Site in Morocco,True,A référencer
HAL,Duchemin Benoit,2024,Impact of Sowing Date on Yield and Water Use Efficiency of Wheat Analyzed through Spatial Modeling and FORMOSAT-2 Images,True,A référencer
HAL,Jarlan Lionel,2024,Assimilation de données de télédétection pour le suivi des surfaces continentales,True,A référencer
HAL,Ayari Emna,2024,Contribution of C-Band Radar Data to the Description of Vegetation Dynamics in the Surface Soil Moisture Retrieval in Semi-Arid Region,True,A référencer
HAL,Chebbi Wafa,2024,Modelling of water and energy exchanges over a sparse olive orchard in semi-arid areas,True,A référencer
HAL,Bigeard Guillaume,2024,Evapotranspiration monitoring based on thermal infrared data over agricultural landscapes: comparison of a simple energy budget model and a SVAT model,True,A référencer
HAL,Mirgol Behnam,2024,Emerging extreme climate-related stresses over croplands and wheat-harvested areas in the southern Mediterranean region during the 21st century,True,A référencer
HAL,Ouatiki Hamza,2024,Evaluation of TRMM 3B42 V7 Rainfall Product over the Oum Er Rbia Watershed in Morocco,True,A référencer
HAL,Laluet Pierre,2024,Retrieving the irrigation actually applied at district scale: Assimilating high-resolution Sentinel-1-derived soil moisture data into a FAO-56-based model,True,A référencer
HAL,Chakir A.,2024,Analysis of C-Band Radar Temporal Coherence over an Irrigated Olive Orchard in a Semi-Arid Region,True,A référencer
ORCID,Abdelhafid Elallaoui,2025.0,Comparison of C-band radar and infrared thermal data for monitoring corn field in semi-arid area.,A déposer sur HAL,False
ORCID,Behnam Mirgol,2025.0,Emerging extreme climate-related stresses over croplands and wheat-harvested areas in the southern Mediterranean region during the 21st century,A déposer sur HAL,False
ORCID,Laura Sourp,2025.0,Evaluation of a tool to simulate high resolution mountain SWE from global datasets,A déposer sur HAL,False
ORCID,Nadia Ouaadi,2025.0,High resolution surface soil moisture microwave products: intercomparison and evaluation over Spain,A déposer sur HAL,False
ORCID,Pierre Laluet,2025.0,Retrieving the irrigation actually applied at district scale: assimilating high-resolution Sentinel-1-derived soil moisture data into a FAO-56-based model,A déposer sur HAL,False
ORCID,Laura Sourp,2024.0,"Evaluation of high resolution snowpack simulations from global datasets and comparison with Sentinel-1 snow depth retrievals in the Sierra Nevada, USA",A déposer sur HAL,False
