Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Krickov Ivan,2025,Environmental controllers for carbon emission and concentration patterns in Siberian rivers during different seasons,True,A référencer
HAL,Chupakov Artem,2025,Seasonal and spatial pattern of dissolved organic matter biodegradation and photodegradation in boreal humic waters,True,A référencer
HAL,Krickov Ivan,2025,"Export fluxes of dissolved, colloidal and particulate organic carbon, major and trace elements from the Ob River and its tributaries across seasons",True,A référencer
HAL,Sobko Elena,2025,Environmental Factors Controlling Zooplankton Communities in Thermokarst Lakes of the Bolshezemelskaya Tundra Permafrost Peatlands (NE Europe),True,A référencer
HAL,Ayrault Sophie,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Lim Artem,2025,"Organic carbon, and major and trace elements reside in labile low-molecular form in the ground ice of permafrost peatlands: a case study of colloids in peat ice of Western Siberia",True,A référencer
HAL,Manasypov Rinat,2025,"Biogeochemistry of macrophytes, sediments and porewaters in thermokarst lakes of permafrost peatlands, western Siberia",True,A référencer
HAL,Lim Artem,2024,"Dispersed ground ice of permafrost peatlands: Potential unaccounted carbon, nutrient and metal sources",True,A référencer
HAL,Shirokova Liudmila,2024,"Lichen, moss and peat control of C, nutrient and trace metal regime in lakes of permafrost peatlands",True,A référencer
HAL,Pokrovsky Oleg,2024,"Carbon, nutrient and metal controls on phytoplankton concentration and biodiversity in thermokarst lakes of latitudinal gradient from isolated to continuous permafrost",True,A référencer
HAL,Vorobyev Sergey,2024,"Biogeochemistry of dissolved carbon, major, and trace elements during spring flood periods on the Ob R iver",True,A référencer
HAL,Aksenov Andrey,2024,Bacterial Number and Genetic Diversity in a Permafrost Peatland (Western Siberia): Testing a Link with Organic Matter Quality and Elementary Composition of a Peat Soil Profile,True,A référencer
HAL,Derbilova Daria,2025,"Anthropic dark soils horizons in western Siberian taiga: origin, soil chemistry and sustainability of organic matter",False,A référencer
