Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Arbault Damien,2025,Biogenic carbon accounting. An open framework towards ALIGNED practices for a diversity of bioeconomy stakeholders,True,A référencer
HAL,Javourez Ugo,2025,Valoriser les bioressources: vers quels services ? Plateforme d'optimisation de cycle de vie d'une bioéconomie circulaire,True,A référencer
HAL,Javourez U.,2024,Residual biomasses at scale: Ensuring future bioeconomy uses outperform current baseline,True,A référencer
HAL,Javourez Ugo,2024,Et si la méthanisation permettait de substituer les importations de tourteaux de soja ?,True,A référencer
HAL,Su-Ungkavatin Pimchanok,2024,"Insights from the first Life Cycle Assessment comparing biofuels, electrofuels, electric and hydrogen systems for aviation",True,A référencer
HAL,Javourez Ugo,2024,More out of agrifood co-products – LCA platform of novel food and feed pathways,True,A référencer
HAL,Su-Ungkavatin Pimchanok,2024,"Comparative Framework for Alternative Fuels in the Future Aviation: Biofuels, Electrofuels, Electric Batteries and Hydrogen",True,A référencer
HAL,Javourez U.,2024,Waste reintroduced in the kitchen: life cycles inventories of representative waste-to-nutrition pathways,True,A référencer
HAL,Javourez Ugo,2024,Prospective environmental mitigation potential of deploying waste-to-nutrition pathways,True,A référencer
HAL,Saez de Bikuña Koldo,2024,A comparison of land use change accounting methods: seeking common grounds for key modeling choices in biofuel assessments,True,A référencer
HAL,Caquet Thierry,2024,"Enjeux agronomiques, techniques et économiques d'une mobilisation accrue des différents gisements de biomasse et de leur transformation en bioénergies",True,A référencer
ORCID,Bastien Païs,2024.0,Current aviation roadmaps are not within planetary boundaries,A déposer sur HAL,False
ORCID,U. Javourez,2024.0,Waste reintroduced in the kitchen: life cycles inventories of representative waste-to-nutrition pathways,A déposer sur HAL,False
ORCID,Ugo Javourez,2024.0,Prospective environmental mitigation potential of deploying waste-to-nutrition pathways,A déposer sur HAL,False
