Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Cardenas Daniela E.,2025,Transcriptomic analysis of the sugarcane orange rust pathogen Puccinia kuehnii,True,A référencer
HAL,Rué Olivier,2025,LEAP: Learn and Evaluate Affiliation databanks on an online Platform,True,A référencer
HAL,Pomiès Maëlle,2025,Long-read sequencing of the 16S-ITS-23S operon enables maternal microbiota transmission study at the putative strain-level resolution,True,A référencer
HAL,Pascal Géraldine,2025,Les mardis de la grenouilles - Jan./Fev. 2024 - 1:FROGS 4 - 2: FROGSSTAT - 3: Functional Inferencce - 4: FROGS in command lines,True,A référencer
HAL,Pascal Géraldine,2025,"Metabarcoding, FROGS training - March 2020",True,A référencer
HAL,Pascal Géraldine,2025,"Metabarcoding, FROGS training - March 2021",True,A référencer
HAL,Pascal Géraldine,2025,"Metabarcoding, FROGS training - June 2021",True,A référencer
HAL,Pascal Géraldine,2025,"Metabarcoding, FROGS training- Dec. 2021",True,A référencer
HAL,Pascal Géraldine,2025,"Metabarcoding, FROGS training - May 2022",True,A référencer
HAL,Pascal Géraldine,2025,"Metabarcoding, FROGS training - June 2022",True,A référencer
HAL,Pascal Géraldine,2025,"Metabarcoding, FROGS training - Oct 2022",True,A référencer
HAL,Pascal Géraldine,2025,"Metabarcoding, FROGS training - April 2023",True,A référencer
HAL,Pascal Géraldine,2025,"Metabarcoding, FROGS training - Oct. 2023",True,A référencer
HAL,Pascal Géraldine,2025,"Metabarcoding, FROGS training – March 2024",True,A référencer
HAL,Pascal Géraldine,2025,"Metabarcoding, FROGS training - May/june 2024",True,A référencer
HAL,Pascal Géraldine,2025,"Metabarcoding, FROGS training - Oct. 2024",True,A référencer
HAL,Rué Olivier,2024,News about FROGS,True,A référencer
HAL,Pascal Géraldine,2024,"FROGS, 10 ans de développement logiciel dédié à la description des microbiotes",True,A référencer
HAL,Pascal Géraldine,2024,FROGS,True,A référencer
