Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Maurice Aurélie,2025,Sociologie,True,A référencer
HAL,Tucci Ingrid,2024,Les mixed methods : une littérature méthodologique en débat,True,A référencer
HAL,Plessz Marie,2024,"Ageing, retirement and changes in vegetable consumption in France: findings from the prospective GAZEL cohort",True,A référencer
HAL,Tucci Ingrid,2024,"Croiser les sources, combiner les méthodes : La sociologie et les mixed methods",True,A référencer
HAL,Gojard Séverine,2024,Alimentation et santé au cours du vieillissement : l’apport de la sociologie,True,A référencer
HAL,Saujot Mathieu,2024,"« Quand on peut, on veut ». Conditions sociales de réalisation de la transition : une approche par les modes de vie",True,A référencer
HAL,Gojard Séverine,2024,Les femmes et l’alimentation : le rôle des normes alimentaires et corporelles,True,A référencer
HAL,Plessz Marie,2024,Vieillissement et changements d’alimentation,True,A référencer
HAL,Hamieh Nadine,2024,"Physical Exertion at Work and Addictive Behaviors: Tobacco, Cannabis, Alcohol, Sugar and Fat Consumption: Longitudinal Analyses in trhe CONSTANCES Cohort",True,A référencer
HAL,Plessz Marie,2024,Unemployment and health-related practices: a cross-sectional exploration in Constances cohort (France),True,A référencer
HAL,Cardon Philippe,2024,Sociologie de l'alimentation,True,A référencer
HAL,Cardon Philippe,2024,sociologie de l'alimentation,True,A référencer
HAL,Cochoy Franck,2024,La consommation low cost,True,A référencer
