Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Collenteur Raoul A,2024,Data-driven modelling of hydraulic-head time series: results and lessons learned from the 2022 Groundwater Time Series Modelling Challenge,True,A référencer
HAL,Bon Lucie,2024,Effects of fertilisation and understory removal on aboveground and belowground carbon stocks in wet and dry moorlands in south-western France,True,A référencer
ORCID,Mark Bakker,2025.0,Capture Zone Envelopes for Pumping Wells in Fields of Uniform Areal Recharge,A déposer sur HAL,False
ORCID,Jenny T. Soonthornrangsan,2025.0,"Linked Data‐Driven, Physics‐Based Modeling of Pumping‐Induced Subsidence with Application to Bangkok, Thailand",A déposer sur HAL,False
ORCID,Jenny T. Soonthornrangsan,2024.0,"Linked Data-Driven, Physics-Based Modeling of Pumping-Induced Subsidence with Application to Bangkok, Thailand",A déposer sur HAL,False
ORCID,Simon Kreipl,2025.0,Exploring the potential of horizontal wells for Aquifer Storage and Recovery,A déposer sur HAL,False
ORCID,Teun van Dooren,2025.0,Increased fresh groundwater extraction from wells in coastal aquifers by simultaneous extraction of brackish groundwater: a numerical modeling study,A déposer sur HAL,False
ORCID,Jenny Soonthornrangsan,2025.0,"Using data assimilation to improve land subsidence prediction from a data-driven and physics-based modeling approach: An application to Bangkok, Thailand",A déposer sur HAL,False
ORCID,Mark Bakker,2025.0,The Effective Vertical Anisotropy of Layered Aquifers,A déposer sur HAL,False
ORCID,Raoul A. Collenteur,2024.0,Data-driven modelling of hydraulic-head time series,A déposer sur HAL,False
ORCID,Martin A. Vonk,2024.0,Time Series Analysis of Nonlinear Head Dynamics Using Synthetic Data Generated with a Variably Saturated Model,A déposer sur HAL,False
ORCID,Raoul Alexander Collenteur,2024.0,Data-driven modeling of hydraulic head time series: results and lessons learned from the 2022 groundwater modeling challenge,A déposer sur HAL,False
ORCID,Raoul Alexander Collenteur,2024.0,"Supplementary material to ""Data-driven modeling of hydraulic head time series: results and lessons learned from the 2022 groundwater modeling challenge""",A déposer sur HAL,False
ORCID,Fatima-Ezzahra Riakhi,2024.0,Unraveling the Potential of Controlled Drainage: Enhancing Freshwater Availability and Combating Salinization in Dutch Polders,A déposer sur HAL,False
ORCID,Mark Bakker,2024.0,Analytical solutions for steady groundwater flow through aquifer folds and faults,A déposer sur HAL,False
