Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Rocco Manon,2025,Is litter biomass a driver of soil volatile organic compound fluxes in Mediterranean forest?,True,A référencer
HAL,Ménival Claire,2025,Ground‐Dwelling Spider Community Responses to Forest Management in a Mediterranean Oak Forest,True,A référencer
HAL,Pérez-Izquierdo Leticia,2025,Impacts of Canopy Disturbances by Tree Logging on Soil Biota Increase With Organism Size,True,A référencer
HAL,Feng Wenlan,2025,Legacy Effects of Flooding Duration on Growth and Reproductive Traits of Carex cinerascens in the Poyang Lake Wetland,True,A référencer
HAL,Santonja Mathieu,2025,Why oaks should stay with their close relatives: growing in a distantly related neighbourhood delays and reorganizes nutrient recycling during litter decomposition,True,A référencer
HAL,Biryol Charlotte,2025,Managing both overstory and understory vegetation mitigates the impact of drought on soil nematode communities in a Mediterranean pine forest,True,A référencer
HAL,Martin Philip A,2025,Meta‐analysis reveals that the effects of precipitation change on soil and litter fauna in forests depend on body size,True,A référencer
HAL,Longeard Pauline,2024,Combinative effects of thinning and prescribed burning on fuel reduction and soil arthropods: A case study in a Mediterranean pine forest,True,A référencer
HAL,Brasseur Solène,2024,"Can allelopathic potentialities of Mediterranean plant species reduce the spread of invasive plant species, Acacia dealbata and Ailanthus altissima ?",True,A référencer
HAL,Marchand Théo,2024,The Detri 2 match conceptual framework: Matching detritivore and detritus traits to unravel consumption rules in a context of decomposition,True,A référencer
HAL,Biryol Charlotte,2024,"Interactive effects of soil moisture, air temperature and litter nutrient diversity on soil microbial communities and Folsomia candida population",True,A référencer
HAL,Santonja Mathieu,2024,Climate change impact on Collembola and their responses to predation: a synthesis of 6 microcosm experiments,True,A référencer
ORCID,Wenlan Feng,2025.0,Legacy Effects of Flooding Duration on Growth and Reproductive Traits of <i>Carex cinerascens</i> in the Poyang Lake Wetland,A déposer sur HAL,False
ORCID,Théo Marchand,2024.0,The Detri<sup>2</sup>match conceptual framework: Matching detritivore and detritus traits to unravel consumption rules in a context of decomposition,A déposer sur HAL,False
ORCID,Solène Brasseur,2024.0,"Can allelopathic potentialities of Mediterranean plant species reduce the spread of invasive plant species, <i>Acacia dealbata</i> and <i>Ailanthus altissima</i>?",A déposer sur HAL,False
ORCID,Charlotte Biryol,2024.0,"Interactive effects of soil moisture, air temperature and litter nutrient diversity on soil microbial communities and <i>Folsomia candida</i> population",A déposer sur HAL,False
