Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Leran Sophie,2025.0,Chapitre 21. S’adapter et innover en matière d’espèces et de variétés cultivées : un rôle clé pour la diversité cultivée et naturelle ?,True,A référencer
HAL,Couedel Antoine,2025.0,"Soil fertility change outweighs climate change impact on maize yield in sub-Saharan Africa, a multi-model study",True,A référencer
HAL,Adam Myriam,2025.0,Modeling climate change impact on low-input smallholder farming systems,True,A référencer
HAL,Descheemaeker Katrien,2025.0,Exploring transformative pathways towards sustainable farming systems in the cotton zone of West Africa,True,A référencer
HAL,Ciampitti Ignacio,2025.0,Sorghum management systems and production technology around the globe,True,A référencer
HAL,Kholova Jana,2025.0,Sorghum: General crop-modelling tools guiding principles and use of crop models in support of crop improvement programs in developing countries,True,A référencer
HAL,Falconnier Gatien N.,2025.0,Modeling of climate change impacts on maize yields in low-nitrogen conditions in Africa,True,A référencer
HAL,Falconnier Gatien N.,2025.0,Identifying changes in agricultural practices and policy interventions for sustainable intensification of farm systems in southern Mali,True,A référencer
HAL,Adam Myriam,2025.0,Modeling the effects of climate change on agriculture: a focus on cropping systems,True,A référencer
HAL,Adam Myriam,2025.0,Embracing new practices in plant breeding for agroecological transition: A diversity‐driven research agenda,True,A référencer
HAL,Ouédraogo Souleymane,2025.0,Mesure de la digestibilité in vivo de résidus de récolte de quatre variétés améliorées de sorgho à double usage sur les moutons de race Djallonké,True,A référencer
HAL,Couëdel Antoine,2025.0,Modeling agroecological intensification in the tropics with the Stics model-lessons learned and way forward,True,A référencer
HAL,Raboin Louis-Marie,2024.0,"Mungbean, Vigna radiata (L.), an alternative to the sorghum-cowpea association for crop diversification in Sudano-Sahelian conditions?",True,A référencer
HAL,Traore Amadou,2024.0,"Sustainable intensification of sorghum-based cropping systems in semi-arid sub-Saharan Africa: The role of improved varieties, mineral fertilizer, and legume integration",True,A référencer
HAL,Falconnier Gatien N.,2024.0,Modelling climate change impacts on maize yields under low nitrogen input conditions in sub‐Saharan Africa,True,A référencer
ORCID,Souleymane Ouédraogo,2025.0,Mesure de la digestibilité <em>in vivo</em> de résidus de récolte de quatre variétés améliorées de sorgho à double usage sur les moutons de race Djallonké,A déposer sur HAL,False
ORCID,Souleymane Ouédraogo,2024.0,Mesure de la digestibilité <em>in vivo</em> de résidus de récolte de quatre variétés améliorées de sorgho à double usage sur les moutons de race Djallonké,A déposer sur HAL,False
