Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Chavana-Bryant Cecilia,2025.0,"ForestScan: a unique multiscale dataset of tropical forest structure across 3 continents including terrestrial, UAV and airborne LiDAR and in-situ forest census data",True,A référencer
HAL,Lamour Julien,2025.0,The Global Spectra-Trait Initiative: A database of paired leaf spectroscopy and functional traits associated with leaf photosynthetic capacity,True,A référencer
HAL,Muledi Jonathan Ilunga,2025.0,Allometric Equations for Aboveground Biomass Estimation in Wet Miombo Forests of the Democratic Republic of the Congo Using Terrestrial LiDAR,True,A référencer
HAL,Russo Nicholas J,2025.0,Spaceborne and UAV-LiDAR reveal hammer-headed bat preference for intermediate canopy height and diverse structure in a Central African rainforest,True,A référencer
HAL,Bossy Thomas,2025.0,State of the art and for remote sensing monitoring of carbon dynamics in African tropical forests,True,A référencer
HAL,Barbier Nicolas,2025.0,Sensing Tropical Forest Phenology and Productivity from the Field to the Satellite,True,A référencer
HAL,Viennois Gaëlle,2025.0,Vegetation mapping,True,A référencer
HAL,Couteron Pierre,2025.0,Linking remote-sensing information to tropical forest structure : the crucial role of modelling,True,A référencer
HAL,Barbier Nicolas,2025.0,Focus : Les tropiques vus du ciel,True,A référencer
HAL,Barima Yao Sadaiou Sabas,2025.0,Dynamique paysagère en milieu de transition forêt-savane ivoirienne,True,A référencer
HAL,Chmurzynski Adam,2025.0,Improved tests for the origin of allometric scaling across tree architectures,True,A référencer
HAL,Barbier Nicolas,2025.0,book review: Macro‐ecology of the world’s savannas,True,A référencer
HAL,Yedmel Memel,2025.0,Impact du feu sur la structure et la composition floristique d’un peuplement forestier de Côte d’Ivoire et interaction avec les traitements sylvicoles,True,A référencer
HAL,Aragão Luiz Eduardo O.C,2025.0,"Interactions between rainfall, deforestation and fires during recent years in the Brazilian Amazonia",True,A référencer
HAL,d'Odorico Paolo,2025.0,Noise‐induced vegetation patterns in fire‐prone savannas,True,A référencer
HAL,Diouf Abdoulaye,2025.0,Caractérisation de la structure spatiale des individus ligneux dans une « brousse tachetée » au sud-ouest du Niger,True,A référencer
HAL,Butler A.,2025.0,Estimates and relationships between aboveground and belowground resource exchange surface areas in a Sitka spruce managed forest,True,A référencer
HAL,Ball James,2025.0,Towards comprehensive individual tree species mapping in diverse tropical forests by harnessing temporal and spectral dimensions,True,A référencer
HAL,Maniatis Danae,2025.0,Evaluating the Potential of Commercial Forest Inventory Data to Report on Forest Carbon Stock and Forest Carbon Stock Changes for REDD+ under the UNFCCC,True,A référencer
HAL,Diouf Abdoulaye,2025.0,"Relationships between fire history, edaphic factors and woody vegetation structure and composition in a semi-arid savanna landscape (Niger, West Africa)",True,A référencer
HAL,Richard Gautier,2025.0,Major change in swine influenza virus diversity in France owing to emergence and widespread dissemination of a newly introduced H1N2 1C genotype in 2020,True,A référencer
HAL,Russo Nicholas J,2024.0,Three‐dimensional vegetation structure drives patterns of seed dispersal by African hornbills,True,A référencer
HAL,Pélissier Raphaël,2024.0,What is the actual performance of large-scale forest biomass mapping models ?,True,A référencer
HAL,Ball James,2024.0,"Tracking detailed tree level dynamics of tropical forest landscapes using deep convolutional neural networks and multitemporal, multimodal remote sensing data sources",True,A référencer
HAL,Barbier Nicolas,2024.0,Étude du rôle des mécanismes épigénétiques dans la transition des cellules stromales mésenchymateuses en fibroblastes associés au cancer et dans l’acquisition de leurs propriétés pro-tumorales dans le lymphome folliculaire,True,A référencer
HAL,Libalah Bakonck Moses,2024.0,Allometric options for predicting tropical tree height and crown area from stem diameter,True,A référencer
HAL,Barbier Nicolas,2024.0,"From leaf to satellite, dynamics and functioning of tropical vegetation",True,A référencer
HAL,Rodda Suraj Reddy,2024.0,LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa,True,A référencer
HAL,Thiroux Sarah,2024.0,Longitudinal field studies revealed co-circulation of several swine influenza virus subtypes and viral persistence in pig herds with pre-existing immunity,True,A référencer
HAL,Andraud Mathieu,2024.0,Swine influenza vaccination impairment in pigs with maternally derived antibodies: From experimental to in-silico modelling evidence,True,A référencer
HAL,Cooper Declan L M,2024.0,Consistent patterns of common species across tropical tree communities,True,A référencer
