Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Coimbra Pedro Henrique H,2025.0,"Evaluation of a novel approach to partitioning respiration and photosynthesis using eddy covariance, wavelets and conditional sampling",True,A référencer
HAL,Liu Guohua,2025.0,Higher sample sizes and observer inter‐calibration are needed for reliable scoring of leaf phenology in trees,True,A référencer
HAL,Ayrault Sophie,2025.0,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Carme Marion,2025.0,Projections comparées de la répartition et de la croissance du Chêne pubescent face au changement climatique : apports et limites de la modélisation,True,A référencer
HAL,Fleurot Emilie,2024.0,Reconciling Pollen Limitation Theories: Insights From Temperate Oak Masting,True,A référencer
HAL,Liu Guohua,2024.0,DeepPhenoMem V1.0: deep learning modelling of canopy greenness dynamics accounting for multi-variate meteorological memory effects on vegetation phenology,True,A référencer
HAL,Berveiller Daniel,2024.0,Net Ecosystem Productivity of a mature temperate deciduous oak forest: reconciling flux and biometric estimates,True,A référencer
HAL,Lebourgeois François,2024.0,"Les réponses observées des arbres aux variations du climat (croissance, phénologie foliaire et fructification)",True,A référencer
HAL,Herig Coimbra Pedro Henrique,2024.0,Contribution of wavelets to decrease gap filling in turbulent surface fluxes measurements,True,A référencer
HAL,Mahmud Mubarak,2024.0,Assessing Nutrient Safety Net and Crop Yield in a Mediterranean Agroforestry Using 15N Labelling Experiment,True,A référencer
HAL,Delpierre Nicolas,2024.0,Growth is not just about wood : investigating the link between ecosystem carbon uptake and net primary productivity in three European forests,True,A référencer
HAL,Joetzjer Emilie,2024.0,Carbon assimilation limitations during and after the European 2022 drought and heat wave,True,A référencer
HAL,Clivot Hugues,2024.0,Modélisation de l'évolution des stocks de carbone organique dans les sols : travaux et perspectives de recherche autour du modèle AMG,True,A référencer
HAL,Kannenberg Steven,2024.0,Drought-induced decoupling between carbon uptake and tree growth impacts forest carbon turnover time,True,A référencer
HAL,Fu Yongshuo,2024.0,Larger temperature response of autumn leaf senescence than spring leaf‐out phenology,True,A référencer
HAL,Fu Yongshuo,2024.0,Nutrient availability alters the correlation between spring leaf-out and autumn leaf senescence dates,True,A référencer
HAL,Zuccarini Paolo,2024.0,Drivers and dynamics of foliar senescence in temperate deciduous forest trees at their southern limit of distribution in Europe,True,A référencer
HAL,Delpierre Nicolas,2024.0,“Green pointillism”: detecting the within-population variability of budburst in temperate deciduous trees with phenological cameras,True,A référencer
HAL,Delpierre Nicolas,2024.0,Phenology across scales: an intercontinental analysis of leaf-out dates in temperate deciduous tree communities,True,A référencer
HAL,Delpierre Nicolas,2024.0,Phenology across scales: an intercontinental analysis of budburst in temperate tree populations,True,A référencer
HAL,Dubertrand Philippine,2025.0,Analysis of phosphorus stock variation in soil and biomass during an Eucalyptus rotation: a step towards modelling the phosphorus cycle,False,A référencer
ORCID,Tanguy Postic,2025.0,"PHOREAU v1.0: a new process-based model to predict forest functioning, from tree ecophysiology to forest dynamics and biogeography",A déposer sur HAL,False
ORCID,Tanguy Postic,2025.0,"Supplementary material to ""PHOREAU v1.0: a new process-based model to predict forest functioning, from tree ecophysiology to forest dynamics and biogeography""",A déposer sur HAL,False
ORCID,Damien Jougnot,2025.0,"Unveiling the forest subsurface and its invisible water, what can geophysics bring to forest ecohydrology",A déposer sur HAL,False
ORCID,Emilie Joetzjer,2025.0,Carbon assimilation limitations during and after the European 2022 drought and heat wave,A déposer sur HAL,False
ORCID,Jianhong Lin,2025.0,Ecophysiological modelling of cessation of wood formation phenology in temperate and boreal forest trees,A déposer sur HAL,False
ORCID,Nicolas Delpierre,2025.0,Growth is not just about wood : investigating the link between ecosystem carbon uptake and net primary productivity in three European forests,A déposer sur HAL,False
ORCID,Daniel Berveiller,2025.0,Net Ecosystem Productivity of a mature temperate deciduous oak forest: reconciling fluxand biometric estimates,A déposer sur HAL,False
ORCID,Guohua Liu,2024.0,DeepPhenoMem V1.0: Deep learning modelling of canopy greenness dynamics accounting for multi-variate meteorological memory effects on vegetation phenology,A déposer sur HAL,False
ORCID,Guohua Liu,2024.0,"Supplementary material to ""DeepPhenoMem V1.0: Deep learning modelling of canopy greenness dynamics accounting for multi-variate meteorological memory effects on vegetation phenology""",A déposer sur HAL,False
