Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Wang Lei,2025,Exploring microbial ubiquity across different plant functional groups and organs,True,A référencer
HAL,Sarneel Judith M,2025,The Assumptions of the Tea Bag Index and Their Implications: A Reply to Mori 2025,True,A référencer
HAL,Blondel Pierre,2025,Organic matter content rather than farming practices modulates microbial activities in vineyard soils,True,A référencer
HAL,Ouédraogo Frédéric,2025,Does temperature affect soil organic matter decomposition and dissolved organic matter optical properties ?,True,A référencer
HAL,Gimeno Teresa,2025,Changes in the composition of ectomycorrhizal fungal communities and the water uptake of European beech forests across a natural precipitation gradient,True,A référencer
HAL,Blondel Pierre,2025,Impact of farming practices on soil biodiversity and functioning in vineyard landscapes,True,A référencer
HAL,Demullier Eva,2025,Arbuscular mycorrhizal contribution to plant water supply,True,A référencer
HAL,Wang Lei,2025,Coniferous Tree Species Identity and Leaf Aging Alter the Composition of Phyllosphere Communities Through Changes in Leaf Traits,True,A référencer
HAL,Chen Xiao,2025,Soil extracellular enzymes as drivers of soil carbon storage under nitrogen addition,True,A référencer
HAL,Fanin Nicolas,2025,"Effects of boreal ground layer shrubs and bryophytes on the diversity, biomass and composition of lichen communities across contrasting ecosystems",True,A référencer
HAL,Deuffic Philippe,2025,Biodiversité en territoires forestiers et d'activité sylvicole,True,A référencer
HAL,Dommanget Fanny,2024,Asian knotweed’s impacts on soil chemistry and enzyme activities are higher in soils with low-nutrient status,True,A référencer
HAL,Bon Lucie,2024,Effects of fertilisation and understory removal on aboveground and belowground carbon stocks in wet and dry moorlands in south-western France,True,A référencer
HAL,Fanin Nicolas,2024,"Relative importance of climate, soil and plant functional traits during the early decomposition stage of standardized litter",True,A référencer
HAL,Fanin Nicolas,2024,"Rôle de la biodiversité sur la dynamique de la matière organique du sol : cadre conceptuel, avancées méthodologiques et futures étapes",True,A référencer
HAL,Hou Jian,2024,A network prediction model to quantify relationship between biodiversity and ecosystem functioning ( BEF ),True,A référencer
HAL,Hu Zhengkun,2024,Nutrient-induced acidification modulates soil biodiversity-function relationships,True,A référencer
HAL,Sarneel Judith M,2024,Reading tea leaves worldwide: decoupled drivers of initial litter decomposition mass‐loss rate and stabilization,True,A référencer
HAL,Schneider Arnaud Robin,2024,Relations entre diversité microbienne et contamination métallique dans des sols industriels,True,A référencer
HAL,Lin Dunmei,2024,"Relationships between rhizosphere microbial communities, soil abiotic properties and root trait variation within a pine species",True,A référencer
HAL,Zhu Meihui,2024,High functional breadth of microbial communities decreases home-field advantage of litter decomposition,True,A référencer
HAL,Ouedraogo Frederic,2024,Changes over time in organic matter dynamics and copper solubility in a vineyard soil after incorporation of cover crop residues: Insights from a batch experiment,True,A référencer
HAL,Dommanget Fanny,2024,Renouées asiatiques envahissantes : la restauration de berges par le génie végétal est-elle si bénéfique à la qualité chimique et à la biodiversité du sol ?,True,A référencer
HAL,Fanin Nicolas,2024,De la diversité des arbres à celle du sol : importance pour le fonctionnement des écosystèmes forestiers,True,A référencer
