Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Le Hoang-Anh,2025,"An implicit wetting–drying algorithm for the discontinuous Galerkin method: application to the Tonle Sap, Mekong River Basin",True,A référencer
HAL,Nguyen An Truong,2025,Does eutrophication enhance greenhouse gas emissions in urbanized tropical estuaries?,True,A référencer
HAL,Gratiot Nicolas,2025,Is the sinking of the Mekong Delta inevitable ?,True,A référencer
HAL,Gratiot Nicolas,2025,L'inéluctable enfoncement du delta du Mékong ?,True,A référencer
HAL,Rodrigues Do Amaral Francisco,2025,"Challenging SWOT: Early Assessment of Level 2 High-Rate River Products in an Urbanized, Low Elevation Coastal Zone",True,A référencer
HAL,Defontaine Sophie,2024,Factors Controlling Mud Floc Settling Velocity in a Highly Turbid Macrotidal Fluvial‐Estuarine System,True,A référencer
HAL,Camenen Benoît,2024,"1D numerical modelling of a complex tidal river : case of the River Saigon, Vietnam",True,A référencer
HAL,Lefebvre Jean Pierre,2024,Geomorphic evolution of a coastal mudflat under oceanic influences: an example from the dynamic shoreline of French Guiana,True,A référencer
HAL,Anthony Edward,2024,Nearshore intertidal topography and topographic-forcing mechanisms of an Amazon-derived mud bank in French Guiana,True,A référencer
HAL,Anthony Edward,2024,The Amazon-influenced muddy coast of South America: A review of mud-bank–shoreline interactions,True,A référencer
HAL,Malbet Fabien,2024,My Earth'' Astrophysics and Planets - a serious game to build low carbon scenarios in the astronomy academic community,True,A référencer
HAL,Malbet Fabien,2024,A serious game to build decarbonization scenarios in the astronomy academic community,True,A référencer
HAL,Pellarin Thierry,2024,Reducing the carbon footprint of a public research laboratory in Geosciences. Assessing a reduction strategy built with laboratory members after a 3-year experimentation,True,A référencer
HAL,Nord Guillaume,2024,Applicability of acoustic Doppler devices for flow velocity measurements and discharge estimation in flows with sediment transport,True,A référencer
HAL,Rodrigues Do Amaral Francisco,2024,Enhancing discharge estimation from SWOT satellite data in a tropical tidal river environment,True,A référencer
HAL,Gratiot Nicolas,2024,La formation dématérialisée,True,A référencer
HAL,Le Hoang-Anh,2024,The Multi-Channel System of the Vietnamese Mekong Delta: Impacts on the Flow Dynamics under Relative Sea-Level Rise Scenarios,True,A référencer
HAL,Nguyen A.T.,2024,Biogeochemical functioning of an urbanized tropical estuary: Implementing the generic C-GEM (reactive transport) model,True,A référencer
HAL,Némery Julien,2024,Modeling urban waters using TONIC model in large metropolitan areas: comparison between Lyon (France) and Ho Chi Minh City (Vietnam),True,A référencer
