Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Ramírez-Valiente José,2025,Limited plastic responses in safety traits support greater hydraulic risk under drier conditions,True,A référencer
HAL,Martin-Stpaul Nicolas,2025,Vulnerability and adaptation of forests to climate change: towards a water-centred approach,True,A référencer
HAL,Courbet Francois,2025,Forêts et changement climatique : comprendre et modéliser le fonctionnement hydrique des arbres,True,A référencer
HAL,Druel Arsene,2025,European forest vulnerability to hydraulic failure: an ecohydrological approach,True,A référencer
HAL,Ruffault Julien,2025,Modeling canopy fuel moisture content (CFMC) with the plant-hydraulic model SurEau-Ecos,True,A référencer
HAL,Ruffault Julien,2025,Estimer la vulnérabilité des forêts à la sècheresse avec le modèle SurEau-Ecos,True,A référencer
HAL,Veuillen Léa,2025,Primary and secondary growth of Pinus halepensis are more sensitive to inter-annual drought variability than to 14 years of rainfall exclusion in a Mediterranean forest,True,A référencer
HAL,Hernando Sonia,2025,Allometric Relationships of Branch Water‐Storage Capacity and Capacitance in Four European Trees Species,True,A référencer
HAL,Guillemot Joannès,2024,Tree growth strategies mediate drought resistance in species-diverse forests,True,A référencer
HAL,Ricodeau Nicolas,2024,Conseils d'utilisation des matériels forestiers de reproduction : Pin d'Alep (Pinus halepensis) (2ème édition),True,A référencer
HAL,Ricodeau Nicolas,2024,Conseils d'utilisation des matériels forestiers de reproduction : Pin brutia (<i>Pinus brutia</i> Ten.) (2ème édition),True,A référencer
HAL,Martin-StPaul Nicolas,2024,La plateforme expérimentale de Font-Blanche Un site dédié au suivi à long terme du bilan de carbone et d’eau d’une forêt mixte méditerranéenne de pin d’Alep et de chêne vert,True,A référencer
HAL,Moreno Myriam,2024,Hydraulic plasticity and water use regulation act to maintain the hydraulic safety margins of Mediterranean trees in rainfall exclusion experiments,True,A référencer
HAL,Gillefalk Mikael,2024,"Urban soils as interdisciplinary archives of urban co-evolution – informing historical analysis and ecohydrological modelling: A case study of Gaußbergpark, Braunschweig, Germany",True,A référencer
HAL,Mas Eugénie,2024,Interactions between beech and oak seedlings can modify the effects of hotter droughts and the onset of hydraulic failure,True,A référencer
HAL,Fady Bruno,2025,Caution needed with the EU forest plantation strategy for offsetting carbon emissions,True,A référencer
HAL,Fargeon H.,2024,Projections of fire danger under climate change over France: where do the greatest uncertainties lie?,True,A référencer
HAL,Sergent A.S.,2025,A comparison of five methods to assess embolism resistance in trees,True,A référencer
