Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Liénart Camilla,2025,Relationship between bacterial compartment and particulate organic matter (POM) in coastal systems: An assessment using fatty acids and stable isotopes,True,A référencer
HAL,Liénart Camilla,2025,"Bivalve monitoring over French coasts: multi-decadal records of carbon and nitrogen elemental and isotopic ratios (δ13C, δ15N and C:N) as ecological indicators of global change",True,A référencer
HAL,Ayrault Sophie,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Schaal Gauthier,2024,Stable isotope ratios in bentho-demersal biota along a depth gradient in the Bay of Biscay: A multitrophic study,True,A référencer
HAL,Savoye Nicolas,2024,SOMLIT (Service d'Observation en Milieu Littoral) time series (French Research Infrastructure ILICO): long-term core parameter monitoring of French coasts,True,A référencer
HAL,Chevalier Nicolas,2024,Precise indices based on n-alkane distribution for quantifying sources of sedimentary organic matter in coastal systems,True,A référencer
HAL,Petton Sébastien,2024,French coastal network for carbonate system monitoring: the CocoriCO2 dataset,True,A référencer
HAL,Briant Nicolas,2024,Spatial and temporal distribution of mercury and methylmercury in bivalves from the French coastline,True,A référencer
HAL,Capitaine Gaëlle,2024,Inter-laboratory comparison on a reference material for seawater spectrophotometric pH T measurements,True,A référencer
ORCID,"Liénart, C.",2025.0,Bivalve monitoring over French coasts: Multi-decadal records of carbon and nitrogen elemental and isotopic ratios as ecological indicators of global change,A déposer sur HAL,False
ORCID,"Ferchiche, F.",2025.0,Unlocking the potential of hydrogen isotopes (δ<sup>2</sup>H) in tracing riverine particulate organic matter sources and dynamics,A déposer sur HAL,False
ORCID,"Liénart, C.",2024.0,Bivalve tissues as a recorder of multidecadal global anthropogenic and climate-mediated change in coastal areas,A déposer sur HAL,False
ORCID,"Petton, S.",2024.0,French coastal network for carbonate system monitoring: The CocoriCO2 dataset,A déposer sur HAL,False
