Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Davoudkhani Mohsen,2025,Global sorghum production dataset for temperate to subtropical regions at subnational scale over 2000-2020,True,A référencer
HAL,Le Quéré Corinne,2025,Trends in the sources and sinks of carbon dioxide,True,A référencer
HAL,Peaucelle Marc,2025,A new approach to optimal discretization of plant functional types in a process-based ecosystem model with forest management: a case study for temperate conifers,True,A référencer
HAL,Blanfort Vincent,2025,Atlas des agricultures du monde et des systèmes alimentaires face au changement climatique,True,A référencer
HAL,Baud Fraile Emilio,2025,Assessment of climate mitigation potential of French grasslands using the land surface model ORCHIDEE-GM,True,A référencer
HAL,Deng Shuaishuai,2025,Detection of the effects of hydraulic activation of stomata (HAS) on the water use efficiency of crops,True,A référencer
HAL,Davoudkhani Mohsen,2025,Potential for expanding sorghum production in Europe in the face of climate change,True,A référencer
HAL,Tillon Laurent,2025,Soirée-débat : nos forêts face aux changements environnementaux,True,A référencer
HAL,Lafaye Murielle,2024,Effets sanitaires induits par le changement climatique sur la santé des travailleurs,True,A référencer
HAL,Liu Liyang,2024,Solar Radiation Triggers the Bimodal Leaf Phenology of Central African Evergreen Broadleaved Forests,True,A référencer
HAL,Yao Yitong,2024,Future Drought‐Induced Tree Mortality Risk in Amazon Rainforest,True,A référencer
HAL,Drobinski Philippe,2024,Model of the Regional Coupled Earth system (MORCE): Application to process and climate studies in vulnerable regions,True,A référencer
HAL,Yao Yitong,2024,"The impacts of elevated CO<sub>2</sub> on forest growth, mortality, and recovery in the Amazon rainforest",True,A référencer
HAL,Bastos A.,2024,"Impacts of extreme summers on European ecosystems: a comparative analysis of 2003, 2010 and 2018",True,A référencer
ORCID,Mohsen Davoudkhani,2025.0,Global sorghum production dataset for temperate to subtropical regions at subnational scale over 2000–2020,A déposer sur HAL,False
ORCID,Ke Yu,2025.0,Resolving effects of leaf pigmentation changes and plant residue on the energy balance of winter wheat cultivation in the ORCHIDEE-CROP model,A déposer sur HAL,False
ORCID,Ke Yu,2025.0,"Supplementary material to ""Resolving effects of leaf pigmentation changes and plant residue on the energy balance of winter wheat cultivation in the ORCHIDEE-CROP model""",A déposer sur HAL,False
ORCID,Shuaishuai Deng,2025.0,Detection of the effects of hydraulic activation of stomata (HAS) on the water use efficiency of crops,A déposer sur HAL,False
ORCID,Emilio Baud Fraile,2025.0,Assessment of climate mitigation potential of French grasslands using the land surface model ORCHIDEE-GM,A déposer sur HAL,False
ORCID,Pascale Braconnot,2025.0,Dynamic vegetation reveals unavoidable climate feedbacks and their dependence on climate mean state,A déposer sur HAL,False
ORCID,Ji-Woong Yang,2025.0,Global biosphere productivity changes during Heinrich Stadial 4: Preliminary results from the triple isotope composition of air oxygen and numerical simulation using a coupled climate model,A déposer sur HAL,False
ORCID,Isabeau Aurore Bertrix,2025.0,Holocene Integrative Vegetation Evolution (HIVE) : dynamical modelling under transient climate conditions in Europe,A déposer sur HAL,False
ORCID,Mohsen Davoudkhani,2025.0,Perspectives for expanding sorghum production in Europe in the face of climate change&#160;,A déposer sur HAL,False
ORCID,Nicolas Viovy,2024.0,Heat stress: an underestimated impact of climate change on vegetation,A déposer sur HAL,False
ORCID,Yitong Yao,2024.0,"The impacts of elevated CO2 on forest growth, mortality, and recovery in the Amazon rainforest",A déposer sur HAL,False
ORCID,Yitong Yao,2024.0,"Supplementary material to ""The impacts of elevated CO2 on forest growth, mortality and recovery in the Amazon rainforest""",A déposer sur HAL,False
ORCID,Yitong Yao,2024.0,"The impacts of elevated CO2 on forest growth, mortality and recovery in the Amazon rainforest",A déposer sur HAL,False
